train_dataset,test_dataset,model,classes,seed,augmentation,in_dataset_accuracy,in_dataset_macro_f1,cross_accuracy,cross_macro_f1,generalization_gap,in_dataset_n,cross_n,checkpoint_path
riceleafbd,dhan_shomadhan,mobilenetv2_100,brown_spot|tungro,42,strong,0.9172932330827068,0.9122112211221124,0.6666666666666666,0.5718518518518518,0.3403593692702604,133,51,results/checkpoints/mobilenetv2_100__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__aug-strong__seed42.pth
riceleafbd,dhan_shomadhan,efficientnet_b0,brown_spot|tungro,42,strong,0.9699248120300752,0.9688232536333802,0.6078431372549019,0.4204545454545454,0.5483687081788347,133,51,results/checkpoints/efficientnet_b0__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__aug-strong__seed42.pth
riceleafbd,dhan_shomadhan,resnet50,brown_spot|tungro,42,strong,0.962406015037594,0.96091224357844,0.6274509803921569,0.5744400527009222,0.3864721908775178,133,51,results/checkpoints/resnet50__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__aug-strong__seed42.pth
dhan_shomadhan,riceleafbd,mobilenetv2_100,brown_spot|tungro,42,strong,0.9607843137254902,0.9600313479623824,0.5939849624060151,0.5737179487179487,0.3863133992444338,51,133,results/checkpoints/mobilenetv2_100__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__aug-strong__seed42.pth
dhan_shomadhan,riceleafbd,efficientnet_b0,brown_spot|tungro,42,strong,0.8431372549019608,0.8401253918495297,0.6766917293233082,0.6760324024245171,0.1640929894250126,51,133,results/checkpoints/efficientnet_b0__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__aug-strong__seed42.pth
dhan_shomadhan,riceleafbd,resnet50,brown_spot|tungro,42,strong,0.8431372549019608,0.8380952380952381,0.631578947368421,0.6169399870687121,0.221155251026526,51,133,results/checkpoints/resnet50__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__aug-strong__seed42.pth
riceleafbd,brri_rice_disease_pest,mobilenetv2_100,healthy|tungro,42,strong,0.9743589743589745,0.970965340392092,0.6299212598425197,0.5039474777694672,0.4670178626226247,117,127,results/checkpoints/mobilenetv2_100__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__aug-strong__seed42.pth
riceleafbd,brri_rice_disease_pest,efficientnet_b0,healthy|tungro,42,strong,0.9914529914529916,0.9903217801306974,0.4566929133858268,0.4517985611510791,0.5385232189796183,117,127,results/checkpoints/efficientnet_b0__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__aug-strong__seed42.pth
riceleafbd,brri_rice_disease_pest,resnet50,healthy|tungro,42,strong,1.0,1.0,0.7795275590551181,0.7188488298545225,0.2811511701454775,117,127,results/checkpoints/resnet50__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__aug-strong__seed42.pth
brri_rice_disease_pest,riceleafbd,mobilenetv2_100,healthy|tungro,42,strong,0.8661417322834646,0.8276797829036635,0.3418803418803419,0.2730573710965868,0.5546224118070767,127,117,results/checkpoints/mobilenetv2_100__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__aug-strong__seed42.pth
