image_path,true_index,pred_index,true_label,pred_label,correct,border_attention_fraction,border_attention_enrichment,model_name,train_datasets,eval_dataset
/kaggle/input/datasets/happychamp/research/riceleafbd/riceleafbd/Brown Spot/310240154_653748513071128_7809190233150817814_n.jpg,0,1,brown_spot,tungro,False,0.4064140021800995,0.6436940963822182,resnet50,dhan_shomadhan,riceleafbd
/kaggle/input/datasets/happychamp/research/riceleafbd/riceleafbd/Tungro Virus/313113847_1497363217428791_1754163908149482870_n.jpg,1,0,tungro,brown_spot,False,0.2306807041168213,0.36536095359108667,resnet50,dhan_shomadhan,riceleafbd
/kaggle/input/datasets/happychamp/research/riceleafbd/riceleafbd/Brown Spot/314441983_854258495994149_9085209384012503446_n.jpg,0,1,brown_spot,tungro,False,0.59697425365448,0.945510737101237,resnet50,dhan_shomadhan,riceleafbd
/kaggle/input/datasets/happychamp/research/riceleafbd/riceleafbd/Tungro Virus/312584511_797351931346927_3523327868034010467_n.jpg,1,0,tungro,brown_spot,False,0.11391489952802658,0.1804227903635815,resnet50,dhan_shomadhan,riceleafbd
/kaggle/input/datasets/happychamp/research/riceleafbd/riceleafbd/Tungro Virus/314626494_2199997793512760_5689096446062356111_n.jpg,1,0,tungro,brown_spot,False,0.7206721305847168,1.1414281825826627,resnet50,dhan_shomadhan,riceleafbd
/kaggle/input/datasets/happychamp/research/riceleafbd/riceleafbd/Tungro Virus/20231027_090945.jpg,1,0,tungro,brown_spot,False,0.8306584358215332,1.315628714513297,resnet50,dhan_shomadhan,riceleafbd
/kaggle/input/datasets/happychamp/research/riceleafbd/riceleafbd/Brown Spot/310252934_458496419686388_869526501005796402_n.jpg,0,0,brown_spot,brown_spot,True,0.22833885252475739,0.3616518391503228,resnet50,dhan_shomadhan,riceleafbd
/kaggle/input/datasets/happychamp/research/riceleafbd/riceleafbd/Tungro Virus/310359156_859753515195754_4139812278162868234_n.jpg,1,1,tungro,tungro,True,0.8111943602561951,1.2848007645269837,resnet50,dhan_shomadhan,riceleafbd
/kaggle/input/datasets/happychamp/research/riceleafbd/riceleafbd/Tungro Virus/310858682_1157260805227050_504034491669553958_n.jpg,1,1,tungro,tungro,True,0.6860003471374512,1.086513681122751,resnet50,dhan_shomadhan,riceleafbd
/kaggle/input/datasets/happychamp/research/riceleafbd/riceleafbd/Tungro Virus/314478760_1541757819664010_929515794713908471_n.jpg,1,1,tungro,tungro,True,0.49836039543151855,0.7893223232693143,resnet50,dhan_shomadhan,riceleafbd
/kaggle/input/datasets/happychamp/research/riceleafbd/riceleafbd/Tungro Virus/310503754_3377964169111722_5053301515091256141_n.jpg,1,1,tungro,tungro,True,0.5315754413604736,0.8419295879325481,resnet50,dhan_shomadhan,riceleafbd
/kaggle/input/datasets/happychamp/research/riceleafbd/riceleafbd/Tungro Virus/71080e5d-e7ce-4440-b648-ab9d84215ab4.jpg,1,1,tungro,tungro,True,0.5593629479408264,0.8859405074456725,resnet50,dhan_shomadhan,riceleafbd
