train_dataset,test_dataset,model,classes,seed,baseline_cross_macro_f1,aug_cross_macro_f1,baseline_gap,aug_gap,cross_f1_improvement,gap_reduction
brri_rice_disease_pest,dhan_shomadhan,efficientnet_b0,rice_blast|scald|tungro,42,0.2514161220043573,0.4011397017932965,0.4486578881103583,0.3495021642615488,0.1497235797889392,0.0991557238488095
brri_rice_disease_pest,dhan_shomadhan,mobilenetv2_100,rice_blast|scald|tungro,42,0.4090909090909091,0.3961654755360088,0.2332003951472978,0.313225710183562,-0.012925433554900334,-0.0800253150362642
brri_rice_disease_pest,dhan_shomadhan,resnet50,rice_blast|scald|tungro,42,0.5269330896200288,0.456003256003256,0.3089339227192461,0.3861429592079746,-0.07092983361677285,-0.07720903648872851
brri_rice_disease_pest,riceleafbd,efficientnet_b0,healthy|tungro,42,0.4240817872018175,0.4686964937095213,0.4575952314317229,0.2897055354597874,0.04461470650770383,0.16788969597193554
brri_rice_disease_pest,riceleafbd,mobilenetv2_100,healthy|tungro,42,0.5726183518410286,0.2730573710965868,0.1947809155582387,0.5546224118070767,-0.2995609807444418,-0.359841496248838
brri_rice_disease_pest,riceleafbd,resnet50,healthy|tungro,42,0.2998484002234102,0.7158731326808447,0.4867779438626113,0.1435512822464164,0.41602473245743454,0.3432266616161949
dhan_shomadhan,brri_rice_disease_pest,efficientnet_b0,rice_blast|scald|tungro,42,0.3599776567518503,0.3228953936918539,0.3132723725430481,0.3466572758608157,-0.0370822630599964,-0.033384903317767556
dhan_shomadhan,brri_rice_disease_pest,mobilenetv2_100,rice_blast|scald|tungro,42,0.2955461087494095,0.3444481693158312,0.3132608548962637,0.2271638317012041,0.04890206056642171,0.0860970231950596
dhan_shomadhan,brri_rice_disease_pest,resnet50,rice_blast|scald|tungro,42,0.3733637927186314,0.5732953978236996,0.20113007046337,0.0433548390828414,0.19993160510506824,0.1577752313805286
dhan_shomadhan,riceleafbd,efficientnet_b0,brown_spot|tungro,42,0.5239925768822906,0.6760324024245171,0.3722223193326055,0.1640929894250126,0.1520398255422265,0.20812932990759292
dhan_shomadhan,riceleafbd,mobilenetv2_100,brown_spot|tungro,42,0.525886946189102,0.5737179487179487,0.2905864644466436,0.3863133992444338,0.047831002528846644,-0.09572693479779021
dhan_shomadhan,riceleafbd,resnet50,brown_spot|tungro,42,0.5956519245109849,0.6169399870687121,0.322090010972886,0.221155251026526,0.021288062557727194,0.10093475994635998
riceleafbd,brri_rice_disease_pest,efficientnet_b0,healthy|tungro,42,0.3749440715883669,0.4517985611510791,0.6058251591808639,0.5385232189796183,0.07685448956271218,0.06730194020124558
riceleafbd,brri_rice_disease_pest,mobilenetv2_100,healthy|tungro,42,0.3330591584941474,0.5039474777694672,0.6289538285188395,0.4670178626226247,0.17088831927531983,0.16193596589621484
riceleafbd,brri_rice_disease_pest,resnet50,healthy|tungro,42,0.624729135202574,0.7188488298545225,0.3655926449281234,0.2811511701454775,0.09411969465194847,0.08444147478264585
riceleafbd,dhan_shomadhan,efficientnet_b0,brown_spot|tungro,42,0.3830645161290322,0.4204545454545454,0.5701703643210381,0.5483687081788347,0.03739002932551322,0.02180165614220342
riceleafbd,dhan_shomadhan,mobilenetv2_100,brown_spot|tungro,42,0.5098039215686274,0.5718518518518518,0.3980908152734779,0.3403593692702604,0.06204793028322442,0.0577314460032175
riceleafbd,dhan_shomadhan,resnet50,brown_spot|tungro,42,0.4705882352941176,0.5744400527009222,0.4590538031470744,0.3864721908775178,0.10385181740680466,0.07258161226955662
