train_dataset,test_dataset,model,classes,seed,delta_macro_f1,kl_sym,tv_distance,chi2,bn_layers,source_split,target_adapt_split,n_source_train,n_target_adapt,prior_src,prior_tgt
brri_rice_disease_pest,dhan_shomadhan,efficientnet_b0,rice_blast|scald|tungro,42,-0.0947920426317912,0.04093158374478725,0.11568221999814825,0.09319349470749896,49,train,train,949,478,"{""rice_blast"":0.5131717597471022,""scald"":0.3108535300316122,""tungro"":0.17597471022128555}","{""rice_blast"":0.39748953974895396,""scald"":0.3179916317991632,""tungro"":0.28451882845188287}"
brri_rice_disease_pest,dhan_shomadhan,mobilenetv2_100,rice_blast|scald|tungro,42,-0.1119452294658984,0.04093158374478725,0.11568221999814825,0.09319349470749896,52,train,train,949,478,"{""rice_blast"":0.5131717597471022,""scald"":0.3108535300316122,""tungro"":0.17597471022128555}","{""rice_blast"":0.39748953974895396,""scald"":0.3179916317991632,""tungro"":0.28451882845188287}"
brri_rice_disease_pest,dhan_shomadhan,resnet50,rice_blast|scald|tungro,42,-0.2008564712859716,0.04093158374478725,0.11568221999814825,0.09319349470749896,53,train,train,949,478,"{""rice_blast"":0.5131717597471022,""scald"":0.3108535300316122,""tungro"":0.17597471022128555}","{""rice_blast"":0.39748953974895396,""scald"":0.3179916317991632,""tungro"":0.28451882845188287}"
brri_rice_disease_pest,riceleafbd,efficientnet_b0,healthy|tungro,42,0.0467652151910745,0.33012452443751944,0.39471356340961505,0.7669477325294453,49,train,train,589,547,"{""healthy"":0.7164685908319185,""tungro"":0.2835314091680815}","{""healthy"":0.3217550274223035,""tungro"":0.6782449725776966}"
brri_rice_disease_pest,riceleafbd,mobilenetv2_100,healthy|tungro,42,-0.0864748459088081,0.33012452443751944,0.39471356340961505,0.7669477325294453,52,train,train,589,547,"{""healthy"":0.7164685908319185,""tungro"":0.2835314091680815}","{""healthy"":0.3217550274223035,""tungro"":0.6782449725776966}"
brri_rice_disease_pest,riceleafbd,resnet50,healthy|tungro,42,-0.0863960113960113,0.33012452443751944,0.39471356340961505,0.7669477325294453,53,train,train,589,547,"{""healthy"":0.7164685908319185,""tungro"":0.2835314091680815}","{""healthy"":0.3217550274223035,""tungro"":0.6782449725776966}"
dhan_shomadhan,brri_rice_disease_pest,efficientnet_b0,rice_blast|scald|tungro,42,-0.0714668899895217,0.04093158374478725,0.11568221999814825,0.07523712467691512,49,train,train,478,949,"{""rice_blast"":0.39748953974895396,""scald"":0.3179916317991632,""tungro"":0.28451882845188287}","{""rice_blast"":0.5131717597471022,""scald"":0.3108535300316122,""tungro"":0.17597471022128555}"
dhan_shomadhan,brri_rice_disease_pest,mobilenetv2_100,rice_blast|scald|tungro,42,0.1409398668219547,0.04093158374478725,0.11568221999814825,0.07523712467691512,52,train,train,478,949,"{""rice_blast"":0.39748953974895396,""scald"":0.3179916317991632,""tungro"":0.28451882845188287}","{""rice_blast"":0.5131717597471022,""scald"":0.3108535300316122,""tungro"":0.17597471022128555}"
dhan_shomadhan,brri_rice_disease_pest,resnet50,rice_blast|scald|tungro,42,-0.1388661160240937,0.04093158374478725,0.11568221999814825,0.07523712467691512,53,train,train,478,949,"{""rice_blast"":0.39748953974895396,""scald"":0.3179916317991632,""tungro"":0.28451882845188287}","{""rice_blast"":0.5131717597471022,""scald"":0.3108535300316122,""tungro"":0.17597471022128555}"
dhan_shomadhan,riceleafbd,efficientnet_b0,brown_spot|tungro,42,-0.2704823325261851,0.00044680037611122356,0.014696109649730005,0.000888803930927151,49,train,train,233,620,"{""brown_spot"":0.41630901287553645,""tungro"":0.5836909871244635}","{""brown_spot"":0.40161290322580645,""tungro"":0.5983870967741935}"
