train_dataset,test_dataset,model,classes,seed,split_seed,augmentation,method,n_bn_layers,n_adapt_images,baseline_accuracy,baseline_macro_f1,adabn_accuracy,adabn_macro_f1,delta_macro_f1,n_samples,checkpoint_path,predictions_path
riceleafbd,dhan_shomadhan,mobilenetv2_100,brown_spot|tungro,42,42,default,adabn,52,233,0.5098039215686274,0.4698544698544699,0.4117647058823529,0.2916666666666667,-0.1781878031878032,51,results/checkpoints/mobilenetv2_100__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__seed42.pth,results/predictions/mobilenetv2_100__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__adabn__eval-dhan_shomadhan__seed42.csv
riceleafbd,dhan_shomadhan,efficientnet_b0,brown_spot|tungro,42,42,default,adabn,49,233,0.45098039215686275,0.3823529411764706,0.5686274509803921,0.3625,-0.01985294117647063,51,results/checkpoints/efficientnet_b0__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__seed42.pth,results/predictions/efficientnet_b0__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__adabn__eval-dhan_shomadhan__seed42.csv
riceleafbd,dhan_shomadhan,resnet50,brown_spot|tungro,42,42,default,adabn,53,233,0.49019607843137253,0.49,0.4117647058823529,0.3169642857142857,-0.1730357142857143,51,results/checkpoints/resnet50__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__seed42.pth,results/predictions/resnet50__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__adabn__eval-dhan_shomadhan__seed42.csv
dhan_shomadhan,riceleafbd,mobilenetv2_100,brown_spot|tungro,42,42,default,adabn,52,620,0.49624060150375937,0.4961266610121572,0.6240601503759399,0.620433789954338,0.12430712894218077,133,results/checkpoints/mobilenetv2_100__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__seed42.pth,results/predictions/mobilenetv2_100__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__adabn__eval-riceleafbd__seed42.csv
dhan_shomadhan,riceleafbd,efficientnet_b0,brown_spot|tungro,42,42,default,adabn,49,620,0.6240601503759399,0.5592523860021209,0.40601503759398494,0.2887700534759358,-0.2704823325261851,133,results/checkpoints/efficientnet_b0__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__seed42.pth,results/predictions/efficientnet_b0__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__adabn__eval-riceleafbd__seed42.csv
dhan_shomadhan,riceleafbd,resnet50,brown_spot|tungro,42,42,default,adabn,53,620,0.6015037593984962,0.6015037593984962,0.6165413533834586,0.6013048845000881,-0.0001988748984080857,133,results/checkpoints/resnet50__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__seed42.pth,results/predictions/resnet50__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__adabn__eval-riceleafbd__seed42.csv
riceleafbd,brri_rice_disease_pest,mobilenetv2_100,healthy|tungro,42,42,default,adabn,52,589,0.28346456692913385,0.22085889570552147,0.5511811023622047,0.41074481074481073,0.18988591503928925,127,results/checkpoints/mobilenetv2_100__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__seed42.pth,results/predictions/mobilenetv2_100__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__adabn__eval-brri_rice_disease_pest__seed42.csv
riceleafbd,brri_rice_disease_pest,efficientnet_b0,healthy|tungro,42,42,default,adabn,49,589,0.3779527559055118,0.3740719945099507,0.4645669291338583,0.42579787234042554,0.05172587783047483,127,results/checkpoints/efficientnet_b0__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__seed42.pth,results/predictions/efficientnet_b0__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__adabn__eval-brri_rice_disease_pest__seed42.csv
riceleafbd,brri_rice_disease_pest,resnet50,healthy|tungro,42,42,default,adabn,53,589,0.4566929133858268,0.45547753681724973,0.3464566929133858,0.33841712169710664,-0.11706041512014309,127,results/checkpoints/resnet50__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__seed42.pth,results/predictions/resnet50__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__adabn__eval-brri_rice_disease_pest__seed42.csv
brri_rice_disease_pest,riceleafbd,mobilenetv2_100,healthy|tungro,42,42,default,adabn,52,547,0.452991452991453,0.4481132075471698,0.39316239316239315,0.36163836163836166,-0.08647484590880816,117,results/checkpoints/mobilenetv2_100__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__seed42.pth,results/predictions/mobilenetv2_100__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__adabn__eval-riceleafbd__seed42.csv
