train_dataset,test_dataset,model,classes,seed,augmentation,bucket,macro_f1,accuracy,generalization_gap,n_samples,checkpoint_path
riceleafbd,dhan_shomadhan,resnet50,brown_spot|tungro,42,bucket-geo,geo,0.5707070707070707,0.6078431372549019,0.3899554551728464,51,results/checkpoints/resnet50__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__aug-bucket-geo__seed42.pth
dhan_shomadhan,riceleafbd,resnet50,brown_spot|tungro,42,bucket-geo,geo,0.5482336956521738,0.5488721804511278,0.2493853519668738,133,results/checkpoints/resnet50__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__aug-bucket-geo__seed42.pth
riceleafbd,brri_rice_disease_pest,resnet50,healthy|tungro,42,bucket-geo,geo,0.4479632389468455,0.4488188976377952,0.5423585411838518,127,results/checkpoints/resnet50__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__aug-bucket-geo__seed42.pth
brri_rice_disease_pest,riceleafbd,resnet50,healthy|tungro,42,bucket-geo,geo,0.8736111111111111,0.8803418803418803,-0.0141866961838499,117,results/checkpoints/resnet50__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__aug-bucket-geo__seed42.pth
dhan_shomadhan,brri_rice_disease_pest,resnet50,rice_blast|scald|tungro,42,bucket-geo,geo,0.4839268326026562,0.6274509803921569,0.1638106413573549,204,results/checkpoints/resnet50__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__aug-bucket-geo__seed42.pth
brri_rice_disease_pest,dhan_shomadhan,resnet50,rice_blast|scald|tungro,42,bucket-geo,geo,0.4772259770790479,0.5145631067961165,0.3566726017323216,103,results/checkpoints/resnet50__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__aug-bucket-geo__seed42.pth
riceleafbd,dhan_shomadhan,resnet50,brown_spot|tungro,42,bucket-photo,photo,0.4705882352941176,0.4705882352941176,0.4750086793321898,51,results/checkpoints/resnet50__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__aug-bucket-photo__seed42.pth
dhan_shomadhan,riceleafbd,resnet50,brown_spot|tungro,42,bucket-photo,photo,0.5863726321741589,0.5864661654135338,0.2729099850903267,133,results/checkpoints/resnet50__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__aug-bucket-photo__seed42.pth
riceleafbd,brri_rice_disease_pest,resnet50,healthy|tungro,42,bucket-photo,photo,0.6499813780260708,0.7086614173228346,0.33078785274316,127,results/checkpoints/resnet50__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__aug-bucket-photo__seed42.pth
brri_rice_disease_pest,riceleafbd,resnet50,healthy|tungro,42,bucket-photo,photo,0.3861111111111111,0.4188034188034188,0.4296529120997206,117,results/checkpoints/resnet50__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__aug-bucket-photo__seed42.pth
dhan_shomadhan,brri_rice_disease_pest,resnet50,rice_blast|scald|tungro,42,bucket-photo,photo,0.4601415334487324,0.5588235294117647,0.1463795175167629,204,results/checkpoints/resnet50__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__aug-bucket-photo__seed42.pth
brri_rice_disease_pest,dhan_shomadhan,resnet50,rice_blast|scald|tungro,42,bucket-photo,photo,0.4923981545251901,0.5242718446601942,0.2836118871049412,103,results/checkpoints/resnet50__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__aug-bucket-photo__seed42.pth
riceleafbd,dhan_shomadhan,resnet50,brown_spot|tungro,42,bucket-occlusion,occlusion,0.6003134796238244,0.6078431372549019,0.3608271736806809,51,results/checkpoints/resnet50__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__aug-bucket-occlusion__seed42.pth
dhan_shomadhan,riceleafbd,resnet50,brown_spot|tungro,42,bucket-occlusion,occlusion,0.6025287356321839,0.6090225563909775,0.2760426929392446,133,results/checkpoints/resnet50__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__aug-bucket-occlusion__seed42.pth
riceleafbd,brri_rice_disease_pest,resnet50,healthy|tungro,42,bucket-occlusion,occlusion,0.6375217542638357,0.6771653543307087,0.3624782457361643,127,results/checkpoints/resnet50__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__aug-bucket-occlusion__seed42.pth
brri_rice_disease_pest,riceleafbd,resnet50,healthy|tungro,42,bucket-occlusion,occlusion,0.2998484002234102,0.358974358974359,0.5257010503260403,117,results/checkpoints/resnet50__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__aug-bucket-occlusion__seed42.pth
dhan_shomadhan,brri_rice_disease_pest,resnet50,rice_blast|scald|tungro,42,bucket-occlusion,occlusion,0.3795518207282913,0.5343137254901961,0.2501603155812061,204,results/checkpoints/resnet50__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__aug-bucket-occlusion__seed42.pth
brri_rice_disease_pest,dhan_shomadhan,resnet50,rice_blast|scald|tungro,42,bucket-occlusion,occlusion,0.5524735297869626,0.5922330097087378,0.2500996994756189,103,results/checkpoints/resnet50__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__aug-bucket-occlusion__seed42.pth
