predictions_path,n_samples,point_macro_f1,ci_low,ci_high,note
D:/Research_Own/Research_CV/week11_light/predictions/efficientnet_b0__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__aug-strong__eval-brri_rice_disease_pest__seed2024.csv,204,0.7731691121456867,0.7082643920464902,0.8259765901583286,
D:/Research_Own/Research_CV/week11_light/predictions/efficientnet_b0__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__aug-strong__eval-dhan_shomadhan__seed2024.csv,103,0.45330859616573904,0.34765982096755993,0.5392744448770019,
D:/Research_Own/Research_CV/week11_light/predictions/efficientnet_b0__train-dhan_shomadhan+brri_rice_disease_pest__run-lodo-holdout-riceleafbd__eval-riceleafbd__seed2024.csv,171,0.4635546872264588,0.3820904671841795,0.5256405252590732,
D:/Research_Own/Research_CV/week11_light/predictions/efficientnet_b0__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__aug-strong__eval-brri_rice_disease_pest__seed2024.csv,204,0.3663030587515714,0.29527047806445883,0.43799366189478484,
D:/Research_Own/Research_CV/week11_light/predictions/efficientnet_b0__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__aug-strong__eval-dhan_shomadhan__seed2024.csv,103,0.6639103875788853,0.5540634681123812,0.7528767719326124,
D:/Research_Own/Research_CV/week11_light/predictions/efficientnet_b0__train-riceleafbd+brri_rice_disease_pest__run-lodo-holdout-dhan_shomadhan__eval-dhan_shomadhan__seed2024.csv,124,0.4584572946377942,0.3558582677910427,0.5487143631954223,
D:/Research_Own/Research_CV/week11_light/predictions/efficientnet_b0__train-riceleafbd+dhan_shomadhan__run-lodo-holdout-brri_rice_disease_pest__eval-brri_rice_disease_pest__seed2024.csv,295,0.17775443323632417,0.13672462553076553,0.21456532877076542,
D:/Research_Own/Research_CV/week11_light/predictions/mobilenetv2_100__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__aug-strong__eval-brri_rice_disease_pest__seed2024.csv,204,0.7460491889063317,0.6758556904781394,0.8108827409316188,
D:/Research_Own/Research_CV/week11_light/predictions/mobilenetv2_100__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__aug-strong__eval-dhan_shomadhan__seed2024.csv,103,0.38113636743773727,0.2948507595931363,0.46919536440347687,
D:/Research_Own/Research_CV/week11_light/predictions/mobilenetv2_100__train-dhan_shomadhan+brri_rice_disease_pest__run-lodo-holdout-riceleafbd__eval-riceleafbd__seed2024.csv,171,0.4165311653116531,0.33631660156972715,0.4839733919279374,
D:/Research_Own/Research_CV/week11_light/predictions/mobilenetv2_100__train-riceleafbd+brri_rice_disease_pest__run-lodo-holdout-dhan_shomadhan__eval-dhan_shomadhan__seed2024.csv,124,0.2965564483730081,0.2219132148380538,0.378295479859348,
D:/Research_Own/Research_CV/week11_light/predictions/mobilenetv2_100__train-riceleafbd+dhan_shomadhan__run-lodo-holdout-brri_rice_disease_pest__eval-brri_rice_disease_pest__seed2024.csv,295,0.21841292487144112,0.17637512589062668,0.2627077069637446,
D:/Research_Own/Research_CV/week11_light/predictions/resnet50__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__aug-strong__eval-brri_rice_disease_pest__seed2024.csv,204,0.824405560316617,0.7774969807763413,0.8794999642497954,
D:/Research_Own/Research_CV/week11_light/predictions/resnet50__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__aug-strong__eval-dhan_shomadhan__seed2024.csv,103,0.5391722099039171,0.4348126629852456,0.6290395404501765,
D:/Research_Own/Research_CV/week11_light/predictions/resnet50__train-dhan_shomadhan+brri_rice_disease_pest__run-lodo-holdout-riceleafbd__eval-riceleafbd__seed2024.csv,171,0.4096618357487922,0.35578783998517677,0.45642978003384094,
D:/Research_Own/Research_CV/week11_light/predictions/resnet50__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__aug-strong__eval-brri_rice_disease_pest__seed2024.csv,204,0.491340576459413,0.42811426125193014,0.5619852087909326,
D:/Research_Own/Research_CV/week11_light/predictions/resnet50__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__aug-strong__eval-dhan_shomadhan__seed2024.csv,103,0.6069295101553166,0.5208638872841563,0.7021669564144151,
D:/Research_Own/Research_CV/week11_light/predictions/resnet50__train-riceleafbd+brri_rice_disease_pest__run-lodo-holdout-dhan_shomadhan__eval-dhan_shomadhan__seed2024.csv,124,0.3598584353829923,0.2842866004359645,0.4493205194637983,
D:/Research_Own/Research_CV/week11_light/predictions/resnet50__train-riceleafbd+dhan_shomadhan__run-lodo-holdout-brri_rice_disease_pest__eval-brri_rice_disease_pest__seed2024.csv,295,0.2817265385686438,0.24077021807969798,0.33179703632586993,
