train_dataset,test_dataset,model,classes,seed,condition,accuracy,macro_f1,n_samples,checkpoint_path
riceleafbd,dhan_shomadhan,mobilenetv2_100,brown_spot|tungro,42,hsv_leaf,0.4509803921568627,0.412828947368421,51,D:\Research_Own\Research_CV\results_masked\hsv_leaf\checkpoints\mobilenetv2_100__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__mask-hsv_leaf__seed42.pth
riceleafbd,dhan_shomadhan,efficientnet_b0,brown_spot|tungro,42,hsv_leaf,0.5490196078431373,0.4848484848484848,51,D:\Research_Own\Research_CV\results_masked\hsv_leaf\checkpoints\efficientnet_b0__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__mask-hsv_leaf__seed42.pth
riceleafbd,dhan_shomadhan,resnet50,brown_spot|tungro,42,hsv_leaf,0.5686274509803921,0.4006410256410256,51,D:\Research_Own\Research_CV\results_masked\hsv_leaf\checkpoints\resnet50__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__mask-hsv_leaf__seed42.pth
dhan_shomadhan,riceleafbd,mobilenetv2_100,brown_spot|tungro,42,hsv_leaf,0.6616541353383458,0.6588771729837561,133,D:\Research_Own\Research_CV\results_masked\hsv_leaf\checkpoints\mobilenetv2_100__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__mask-hsv_leaf__seed42.pth
dhan_shomadhan,riceleafbd,efficientnet_b0,brown_spot|tungro,42,hsv_leaf,0.6165413533834586,0.6109103424539666,133,D:\Research_Own\Research_CV\results_masked\hsv_leaf\checkpoints\efficientnet_b0__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__mask-hsv_leaf__seed42.pth
dhan_shomadhan,riceleafbd,resnet50,brown_spot|tungro,42,hsv_leaf,0.556390977443609,0.5481140224589692,133,D:\Research_Own\Research_CV\results_masked\hsv_leaf\checkpoints\resnet50__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__mask-hsv_leaf__seed42.pth
riceleafbd,brri_rice_disease_pest,mobilenetv2_100,healthy|tungro,42,hsv_leaf,0.3307086614173228,0.2911550331604176,127,D:\Research_Own\Research_CV\results_masked\hsv_leaf\checkpoints\mobilenetv2_100__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__mask-hsv_leaf__seed42.pth
riceleafbd,brri_rice_disease_pest,efficientnet_b0,healthy|tungro,42,hsv_leaf,0.2992125984251969,0.2451078608161357,127,D:\Research_Own\Research_CV\results_masked\hsv_leaf\checkpoints\efficientnet_b0__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__mask-hsv_leaf__seed42.pth
riceleafbd,brri_rice_disease_pest,resnet50,healthy|tungro,42,hsv_leaf,0.3464566929133858,0.3178670808257296,127,D:\Research_Own\Research_CV\results_masked\hsv_leaf\checkpoints\resnet50__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__mask-hsv_leaf__seed42.pth
brri_rice_disease_pest,riceleafbd,mobilenetv2_100,healthy|tungro,42,hsv_leaf,0.6068376068376068,0.5961884753901561,117,D:\Research_Own\Research_CV\results_masked\hsv_leaf\checkpoints\mobilenetv2_100__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__mask-hsv_leaf__seed42.pth
