train_dataset,test_dataset,model,classes,seed,condition,accuracy,macro_f1,n_samples,checkpoint_path
riceleafbd,dhan_shomadhan,mobilenetv2_100,brown_spot|tungro,42,sam_leaf,0.5098039215686274,0.3703703703703703,51,/kaggle/working/Research_CV/results_masked/sam_leaf/checkpoints/mobilenetv2_100__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__mask-sam_leaf__seed42.pth
riceleafbd,dhan_shomadhan,efficientnet_b0,brown_spot|tungro,42,sam_leaf,0.5294117647058824,0.5142857142857142,51,/kaggle/working/Research_CV/results_masked/sam_leaf/checkpoints/efficientnet_b0__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__mask-sam_leaf__seed42.pth
riceleafbd,dhan_shomadhan,resnet50,brown_spot|tungro,42,sam_leaf,0.6078431372549019,0.5588235294117647,51,/kaggle/working/Research_CV/results_masked/sam_leaf/checkpoints/resnet50__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__mask-sam_leaf__seed42.pth
dhan_shomadhan,riceleafbd,mobilenetv2_100,brown_spot|tungro,42,sam_leaf,0.5413533834586466,0.5092844613802697,133,/kaggle/working/Research_CV/results_masked/sam_leaf/checkpoints/mobilenetv2_100__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__mask-sam_leaf__seed42.pth
dhan_shomadhan,riceleafbd,efficientnet_b0,brown_spot|tungro,42,sam_leaf,0.5413533834586466,0.5005847953216374,133,/kaggle/working/Research_CV/results_masked/sam_leaf/checkpoints/efficientnet_b0__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__mask-sam_leaf__seed42.pth
dhan_shomadhan,riceleafbd,resnet50,brown_spot|tungro,42,sam_leaf,0.5639097744360902,0.5548245614035088,133,/kaggle/working/Research_CV/results_masked/sam_leaf/checkpoints/resnet50__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__mask-sam_leaf__seed42.pth
riceleafbd,brri_rice_disease_pest,mobilenetv2_100,healthy|tungro,42,sam_leaf,0.4724409448818897,0.4529029769176365,127,/kaggle/working/Research_CV/results_masked/sam_leaf/checkpoints/mobilenetv2_100__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__mask-sam_leaf__seed42.pth
riceleafbd,brri_rice_disease_pest,efficientnet_b0,healthy|tungro,42,sam_leaf,0.4960629921259842,0.4868686868686869,127,/kaggle/working/Research_CV/results_masked/sam_leaf/checkpoints/efficientnet_b0__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__mask-sam_leaf__seed42.pth
riceleafbd,brri_rice_disease_pest,resnet50,healthy|tungro,42,sam_leaf,0.4881889763779528,0.4835783547075383,127,/kaggle/working/Research_CV/results_masked/sam_leaf/checkpoints/resnet50__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__mask-sam_leaf__seed42.pth
brri_rice_disease_pest,riceleafbd,mobilenetv2_100,healthy|tungro,42,sam_leaf,0.7777777777777778,0.7729850746268656,117,/kaggle/working/Research_CV/results_masked/sam_leaf/checkpoints/mobilenetv2_100__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__mask-sam_leaf__seed42.pth
brri_rice_disease_pest,riceleafbd,efficientnet_b0,healthy|tungro,42,sam_leaf,0.7521367521367521,0.7392607392607393,117,/kaggle/working/Research_CV/results_masked/sam_leaf/checkpoints/efficientnet_b0__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__mask-sam_leaf__seed42.pth
brri_rice_disease_pest,riceleafbd,resnet50,healthy|tungro,42,sam_leaf,0.8461538461538461,0.8399696048632219,117,/kaggle/working/Research_CV/results_masked/sam_leaf/checkpoints/resnet50__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__mask-sam_leaf__seed42.pth
dhan_shomadhan,brri_rice_disease_pest,mobilenetv2_100,rice_blast|scald|tungro,42,sam_leaf,0.3872549019607843,0.3772235630642711,204,/kaggle/working/Research_CV/results_masked/sam_leaf/checkpoints/mobilenetv2_100__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__mask-sam_leaf__seed42.pth
dhan_shomadhan,brri_rice_disease_pest,efficientnet_b0,rice_blast|scald|tungro,42,sam_leaf,0.4362745098039216,0.4293788291853546,204,/kaggle/working/Research_CV/results_masked/sam_leaf/checkpoints/efficientnet_b0__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__mask-sam_leaf__seed42.pth
