train_dataset,test_dataset,model,classes,seed,condition,accuracy,macro_f1,n_samples,checkpoint_path
riceleafbd,dhan_shomadhan,mobilenetv2_100,brown_spot|tungro,2024,sam_leaf,0.6470588445663452,0.575,51,/kaggle/working/results_masked/sam_leaf/checkpoints/mobilenetv2_100__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__mask-sam_leaf__seed2024.pth
riceleafbd,dhan_shomadhan,efficientnet_b0,brown_spot|tungro,2024,sam_leaf,0.5882353186607361,0.4940954180444024,51,/kaggle/working/results_masked/sam_leaf/checkpoints/efficientnet_b0__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__mask-sam_leaf__seed2024.pth
riceleafbd,dhan_shomadhan,resnet50,brown_spot|tungro,2024,sam_leaf,0.6078431606292725,0.5277777777777778,51,/kaggle/working/results_masked/sam_leaf/checkpoints/resnet50__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__mask-sam_leaf__seed2024.pth
dhan_shomadhan,riceleafbd,mobilenetv2_100,brown_spot|tungro,2024,sam_leaf,0.8270676732063293,0.8164416441644164,133,/kaggle/working/results_masked/sam_leaf/checkpoints/mobilenetv2_100__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__mask-sam_leaf__seed2024.pth
dhan_shomadhan,riceleafbd,efficientnet_b0,brown_spot|tungro,2024,sam_leaf,0.6842105388641357,0.6545027214250372,133,/kaggle/working/results_masked/sam_leaf/checkpoints/efficientnet_b0__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__mask-sam_leaf__seed2024.pth
dhan_shomadhan,riceleafbd,resnet50,brown_spot|tungro,2024,sam_leaf,0.5563910007476807,0.5414597089931631,133,/kaggle/working/results_masked/sam_leaf/checkpoints/resnet50__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__mask-sam_leaf__seed2024.pth
riceleafbd,brri_rice_disease_pest,mobilenetv2_100,healthy|tungro,2024,sam_leaf,0.4251968562602997,0.4159264159264159,127,/kaggle/working/results_masked/sam_leaf/checkpoints/mobilenetv2_100__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__mask-sam_leaf__seed2024.pth
riceleafbd,brri_rice_disease_pest,efficientnet_b0,healthy|tungro,2024,sam_leaf,0.7086614370346069,0.6443653977143722,127,/kaggle/working/results_masked/sam_leaf/checkpoints/efficientnet_b0__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__mask-sam_leaf__seed2024.pth
riceleafbd,brri_rice_disease_pest,resnet50,healthy|tungro,2024,sam_leaf,0.3070866167545318,0.2569148936170213,127,/kaggle/working/results_masked/sam_leaf/checkpoints/resnet50__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__mask-sam_leaf__seed2024.pth
brri_rice_disease_pest,riceleafbd,mobilenetv2_100,healthy|tungro,2024,sam_leaf,0.4188034236431122,0.3909981628903858,117,/kaggle/working/results_masked/sam_leaf/checkpoints/mobilenetv2_100__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__mask-sam_leaf__seed2024.pth
