model,train_dataset,test_dataset,classes,seed,best_C,val_macro_f1,accuracy,macro_f1,n_samples
dinov2,riceleafbd,dhan_shomadhan,brown_spot|tungro,42,0.01,0.9762344392161535,0.8627450980392157,0.8515592515592516,51
dinov2,riceleafbd,dhan_shomadhan,brown_spot|tungro,7,0.01,0.9762344392161535,0.8627450980392157,0.8515592515592516,51
dinov2,riceleafbd,dhan_shomadhan,brown_spot|tungro,2024,0.01,0.9762344392161535,0.8627450980392157,0.8515592515592516,51
dinov2,dhan_shomadhan,riceleafbd,brown_spot|tungro,42,0.01,0.9379909053327822,0.8270676691729323,0.8230666898027648,133
dinov2,dhan_shomadhan,riceleafbd,brown_spot|tungro,7,0.01,0.9379909053327822,0.8270676691729323,0.8230666898027648,133
dinov2,dhan_shomadhan,riceleafbd,brown_spot|tungro,2024,0.01,0.9379909053327822,0.8270676691729323,0.8230666898027648,133
dinov2,riceleafbd,brri_rice_disease_pest,healthy|tungro,42,0.01,1.0,0.6850393700787402,0.6591519055287172,127
dinov2,riceleafbd,brri_rice_disease_pest,healthy|tungro,7,0.01,1.0,0.6850393700787402,0.6591519055287172,127
dinov2,riceleafbd,brri_rice_disease_pest,healthy|tungro,2024,0.01,1.0,0.6850393700787402,0.6591519055287172,127
dinov2,brri_rice_disease_pest,riceleafbd,healthy|tungro,42,1.0,0.8784415584415585,0.8376068376068376,0.8206245461147421,117
dinov2,brri_rice_disease_pest,riceleafbd,healthy|tungro,7,1.0,0.8784415584415585,0.8376068376068376,0.8206245461147421,117
dinov2,brri_rice_disease_pest,riceleafbd,healthy|tungro,2024,1.0,0.8784415584415585,0.8376068376068376,0.8206245461147421,117
dinov2,dhan_shomadhan,brri_rice_disease_pest,rice_blast|scald|tungro,42,0.01,0.7729004695964253,0.553921568627451,0.5613455120139137,204
dinov2,dhan_shomadhan,brri_rice_disease_pest,rice_blast|scald|tungro,7,0.01,0.7729004695964253,0.553921568627451,0.5613455120139137,204
dinov2,dhan_shomadhan,brri_rice_disease_pest,rice_blast|scald|tungro,2024,0.01,0.7729004695964253,0.553921568627451,0.5613455120139137,204
dinov2,brri_rice_disease_pest,dhan_shomadhan,rice_blast|scald|tungro,42,1.0,0.7698764364334251,0.5339805825242718,0.5124268416193882,103
dinov2,brri_rice_disease_pest,dhan_shomadhan,rice_blast|scald|tungro,7,1.0,0.7698764364334251,0.5339805825242718,0.5124268416193882,103
dinov2,brri_rice_disease_pest,dhan_shomadhan,rice_blast|scald|tungro,2024,1.0,0.7698764364334251,0.5339805825242718,0.5124268416193882,103
