metric,value
n_total,12
n_correct,6
mean_enrichment_correct,0.875026
std_enrichment_correct,0.28424
n_incorrect,6
mean_enrichment_incorrect,0.765341
std_enrichment_incorrect,0.406946
mannwhitney_u_statistic,19
mannwhitney_p_value,0.937229
n_enrichment_below_1p0,8
frac_enrichment_below_1p0,0.666667
n_label_brown_spot,3
mean_enrichment_label_brown_spot,0.650286
n_label_tungro,9
mean_enrichment_label_tungro,0.876816
crosstab_correct_False_below1_False,2
crosstab_correct_False_below1_True,4
crosstab_correct_True_below1_False,2
crosstab_correct_True_below1_True,4
