image_path,dataset,foreground_fraction,n_components,largest_component_fraction
data\raw\riceleafbd\Bacterial Leaf Blight\287707627_871778014004060_726758636943332730_n.jpg,riceleafbd,0.055951128643436335,1,0.055951128643436335
data\raw\riceleafbd\Bacterial Leaf Blight\306374173_668849494858593_3766180290570057808_n.jpg,riceleafbd,0.41243556962539063,1,0.41243556962539063
data\raw\riceleafbd\Bacterial Leaf Blight\306768571_5705896816098704_5324870073207477777_n.jpg,riceleafbd,0.2175972825306202,1,0.2175972825306202
data\raw\riceleafbd\Bacterial Leaf Blight\308023277_813205076492610_8884314140399816635_n.jpg,riceleafbd,0.5532783051724481,1,0.5532783051724481
data\raw\riceleafbd\Bacterial Leaf Blight\308400042_1457149698084155_2460803779325392734_n.jpg,riceleafbd,0.7028677983539094,1,0.7028677983539094
data\raw\riceleafbd\Bacterial Leaf Blight\309887257_1206708786950023_3999718091796316686_n.jpg,riceleafbd,0.5917756958141573,1,0.5917756958141573
data\raw\riceleafbd\Bacterial Leaf Blight\309889467_1034938934566619_5421307974573115033_n.jpg,riceleafbd,0.07505167738142648,1,0.07505167738142648
data\raw\riceleafbd\Bacterial Leaf Blight\309906799_2995311924109055_1548035455363112562_n (1).jpg,riceleafbd,0.3023312513697129,1,0.3023312513697129
data\raw\riceleafbd\Bacterial Leaf Blight\309906799_2995311924109055_1548035455363112562_n (2).jpg,riceleafbd,0.3023312513697129,1,0.3023312513697129
data\raw\riceleafbd\Bacterial Leaf Blight\309906799_2995311924109055_1548035455363112562_n (3).jpg,riceleafbd,0.3023312513697129,1,0.3023312513697129
data\raw\riceleafbd\Bacterial Leaf Blight\309906799_2995311924109055_1548035455363112562_n.jpg,riceleafbd,0.3023312513697129,1,0.3023312513697129
data\raw\riceleafbd\Bacterial Leaf Blight\309914121_499573125434843_7502151446289468963_n.jpg,riceleafbd,0.27829321765090026,1,0.27829321765090026
data\raw\riceleafbd\Bacterial Leaf Blight\309917130_705181374368022_7708826739424719878_n.jpg,riceleafbd,0.21168430335097002,1,0.21168430335097002
data\raw\riceleafbd\Bacterial Leaf Blight\309927186_1142612546377118_9049401921745677073_n.jpg,riceleafbd,0.6165923982453217,1,0.6165923982453217
data\raw\riceleafbd\Bacterial Leaf Blight\309930035_609965000916713_6053113369076935018_n (1).jpg,riceleafbd,0.4795973767671881,1,0.4795973767671881
data\raw\riceleafbd\Bacterial Leaf Blight\309935720_624667676025618_6020341465910782064_n.jpg,riceleafbd,0.1773406862745098,1,0.1773406862745098
data\raw\riceleafbd\Bacterial Leaf Blight\309944835_403163421908295_9126692865745592080_n (1).jpg,riceleafbd,0.8202460729211702,1,0.8202460729211702
data\raw\riceleafbd\Bacterial Leaf Blight\309944835_403163421908295_9126692865745592080_n.jpg,riceleafbd,0.8202460729211702,1,0.8202460729211702
data\raw\riceleafbd\Bacterial Leaf Blight\309949841_5556370191117231_3092019620081404905_n (1).jpg,riceleafbd,0.31481181343417974,1,0.31481181343417974
data\raw\riceleafbd\Bacterial Leaf Blight\309949841_5556370191117231_3092019620081404905_n.jpg,riceleafbd,0.31481181343417974,1,0.31481181343417974
data\raw\riceleafbd\Bacterial Leaf Blight\309950589_1096526231050520_832987334448539271_n.jpg,riceleafbd,0.27346136081521893,1,0.27346136081521893
data\raw\riceleafbd\Bacterial Leaf Blight\309981324_5716773368401002_4567453957138815972_n.jpg,riceleafbd,0.11894860837168529,1,0.11894860837168529
data\raw\riceleafbd\Bacterial Leaf Blight\310002278_817225236263649_3961895793977925231_n (1).jpg,riceleafbd,0.31696616369455877,1,0.31696616369455877
data\raw\riceleafbd\Bacterial Leaf Blight\310002278_817225236263649_3961895793977925231_n.jpg,riceleafbd,0.31696616369455877,1,0.31696616369455877
data\raw\riceleafbd\Bacterial Leaf Blight\310006532_887017432263227_516046070358667000_n (1).jpg,riceleafbd,0.7265216154721275,1,0.7265216154721275
data\raw\riceleafbd\Bacterial Leaf Blight\310011901_727491482067925_2927973224257730841_n.jpg,riceleafbd,0.07419624485596708,1,0.07419624485596708
data\raw\riceleafbd\Bacterial Leaf Blight\310061159_1771194393257497_6100627014383132732_n (1).jpg,riceleafbd,0.5862538580246913,1,0.5862538580246913
data\raw\riceleafbd\Bacterial Leaf Blight\310067670_1460212497800616_8263437998853540163_n.jpg,riceleafbd,0.39891484869809996,1,0.39891484869809996
data\raw\riceleafbd\Bacterial Leaf Blight\310068205_3277307199265837_3560960330579466291_n.jpg,riceleafbd,0.178593601458976,1,0.178593601458976
data\raw\riceleafbd\Bacterial Leaf Blight\310068205_818588019449923_3913899021171820655_n.jpg,riceleafbd,0.2857028795137279,1,0.2857028795137279
data\raw\riceleafbd\Bacterial Leaf Blight\310068882_691272839033182_5139952364170529372_n.jpg,riceleafbd,0.49820730637313554,1,0.49820730637313554
data\raw\riceleafbd\Bacterial Leaf Blight\310071915_444203177660926_6518706998211739864_n (1).jpg,riceleafbd,0.6831256430041153,1,0.6831256430041153
data\raw\riceleafbd\Bacterial Leaf Blight\310071915_444203177660926_6518706998211739864_n.jpg,riceleafbd,0.6831256430041153,1,0.6831256430041153
data\raw\riceleafbd\Bacterial Leaf Blight\310073451_670400287776430_8623490334686936705_n.jpg,riceleafbd,0.4489913434144203,1,0.4489913434144203
data\raw\riceleafbd\Bacterial Leaf Blight\310073971_435370668776339_6035196133024949050_n.jpg,riceleafbd,0.29061213991769547,1,0.29061213991769547
data\raw\riceleafbd\Bacterial Leaf Blight\310077906_1096335294401000_358816161487578227_n (1).jpg,riceleafbd,0.6747635163182286,1,0.6747635163182286
data\raw\riceleafbd\Bacterial Leaf Blight\310077906_1096335294401000_358816161487578227_n.jpg,riceleafbd,0.6747635163182286,1,0.6747635163182286
data\raw\riceleafbd\Bacterial Leaf Blight\310078353_660589472106425_3907303379127533192_n.jpg,riceleafbd,0.0972437949905761,1,0.0972437949905761
data\raw\riceleafbd\Bacterial Leaf Blight\310090711_874207533939594_3235125099262747986_n (1).jpg,riceleafbd,0.1970084590763603,1,0.1970084590763603
data\raw\riceleafbd\Bacterial Leaf Blight\310099266_1114310669474495_1151059898472155262_n.jpg,riceleafbd,0.6521237507348618,1,0.6521237507348618
data\raw\riceleafbd\Bacterial Leaf Blight\310103066_1336526506753515_6186056900445065534_n.jpg,riceleafbd,0.2308645627876397,1,0.2308645627876397
data\raw\riceleafbd\Bacterial Leaf Blight\310106462_1093880197983588_1411787509327726484_n.jpg,riceleafbd,0.12507396449704142,1,0.12507396449704142
data\raw\riceleafbd\Bacterial Leaf Blight\310108465_1274344353360521_4050189809060602811_n.jpg,riceleafbd,0.418019279947131,1,0.418019279947131
data\raw\riceleafbd\Bacterial Leaf Blight\310111298_562164032386723_1187157458750245682_n (1).jpg,riceleafbd,0.12893630345321166,1,0.12893630345321166
data\raw\riceleafbd\Bacterial Leaf Blight\310111298_562164032386723_1187157458750245682_n.jpg,riceleafbd,0.12893630345321166,1,0.12893630345321166
data\raw\riceleafbd\Bacterial Leaf Blight\310114150_1326246238112132_6368990570522175941_n.jpg,riceleafbd,0.6006968432162733,1,0.6006968432162733
data\raw\riceleafbd\Bacterial Leaf Blight\310116581_5529911123723324_4187199742885998953_n.jpg,riceleafbd,0.5363335253456222,1,0.5363335253456222
data\raw\riceleafbd\Bacterial Leaf Blight\310117662_659620325688598_7388704243788229374_n.jpg,riceleafbd,0.08526688453159041,1,0.08526688453159041
data\raw\riceleafbd\Bacterial Leaf Blight\310118366_792036068554166_3778291304245694531_n.jpg,riceleafbd,0.39390309343434343,1,0.39390309343434343
data\raw\riceleafbd\Bacterial Leaf Blight\310155672_615122330405118_141836114081908699_n (1).jpg,riceleafbd,0.2509019158786446,1,0.2509019158786446
data\raw\riceleafbd\Bacterial Leaf Blight\310186129_1587918904994279_3358023107928269316_n.jpg,riceleafbd,0.7336510423466945,1,0.7336510423466945
