image_path,dataset,original_class,mapped_class,background,split,is_duplicate
data\raw\riceleafbd\Bacterial Leaf Blight\287707627_871778014004060_726758636943332730_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\306374173_668849494858593_3766180290570057808_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,val,False
data\raw\riceleafbd\Bacterial Leaf Blight\306768571_5705896816098704_5324870073207477777_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\308023277_813205076492610_8884314140399816635_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\308400042_1457149698084155_2460803779325392734_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,val,False
data\raw\riceleafbd\Bacterial Leaf Blight\309887257_1206708786950023_3999718091796316686_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\309889467_1034938934566619_5421307974573115033_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\309906799_2995311924109055_1548035455363112562_n (1).jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\309906799_2995311924109055_1548035455363112562_n (2).jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,val,False
data\raw\riceleafbd\Bacterial Leaf Blight\309906799_2995311924109055_1548035455363112562_n (3).jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\309906799_2995311924109055_1548035455363112562_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\309914121_499573125434843_7502151446289468963_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\309917130_705181374368022_7708826739424719878_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\309927186_1142612546377118_9049401921745677073_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,test,False
data\raw\riceleafbd\Bacterial Leaf Blight\309930035_609965000916713_6053113369076935018_n (1).jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,val,False
data\raw\riceleafbd\Bacterial Leaf Blight\309935720_624667676025618_6020341465910782064_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\309944835_403163421908295_9126692865745592080_n (1).jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\309944835_403163421908295_9126692865745592080_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\309949841_5556370191117231_3092019620081404905_n (1).jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\309949841_5556370191117231_3092019620081404905_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\309950589_1096526231050520_832987334448539271_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,test,False
data\raw\riceleafbd\Bacterial Leaf Blight\309981324_5716773368401002_4567453957138815972_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,test,False
