image_path,dataset,foreground_fraction,n_components,largest_component_fraction,sam_score
data\raw\riceleafbd\Bacterial Leaf Blight\287707627_871778014004060_726758636943332730_n.jpg,riceleafbd,0.051381766381766385,1,0.051381766381766385,0.9846120476722717
data\raw\riceleafbd\Bacterial Leaf Blight\306374173_668849494858593_3766180290570057808_n.jpg,riceleafbd,0.17768578270222005,1,0.17768578270222005,0.9870545864105225
data\raw\riceleafbd\Bacterial Leaf Blight\306768571_5705896816098704_5324870073207477777_n.jpg,riceleafbd,0.9870183373573259,1,0.9870183373573259,0.9739388227462769
data\raw\riceleafbd\Bacterial Leaf Blight\308023277_813205076492610_8884314140399816635_n.jpg,riceleafbd,0.9661104145521126,1,0.9661104145521126,1.0070163011550903
data\raw\riceleafbd\Bacterial Leaf Blight\308400042_1457149698084155_2460803779325392734_n.jpg,riceleafbd,0.9904164829512052,1,0.9904164829512052,0.9978376626968384
data\raw\riceleafbd\Bacterial Leaf Blight\309887257_1206708786950023_3999718091796316686_n.jpg,riceleafbd,0.14194115713346483,1,0.14194115713346483,0.9998694658279419
data\raw\riceleafbd\Bacterial Leaf Blight\309889467_1034938934566619_5421307974573115033_n.jpg,riceleafbd,0.00409626216077829,1,0.00409626216077829,0.9094604849815369
data\raw\riceleafbd\Bacterial Leaf Blight\309906799_2995311924109055_1548035455363112562_n (1).jpg,riceleafbd,0.011565855796625028,1,0.011565855796625028,0.9402710199356079
data\raw\riceleafbd\Bacterial Leaf Blight\309906799_2995311924109055_1548035455363112562_n (2).jpg,riceleafbd,0.011565855796625028,1,0.011565855796625028,0.9402710199356079
data\raw\riceleafbd\Bacterial Leaf Blight\309906799_2995311924109055_1548035455363112562_n (3).jpg,riceleafbd,0.011565855796625028,1,0.011565855796625028,0.9402710199356079
data\raw\riceleafbd\Bacterial Leaf Blight\309906799_2995311924109055_1548035455363112562_n.jpg,riceleafbd,0.011565855796625028,1,0.011565855796625028,0.9402710199356079
data\raw\riceleafbd\Bacterial Leaf Blight\309914121_499573125434843_7502151446289468963_n.jpg,riceleafbd,0.21538623005877414,1,0.21538623005877414,0.9942775964736938
data\raw\riceleafbd\Bacterial Leaf Blight\309917130_705181374368022_7708826739424719878_n.jpg,riceleafbd,0.09302579365079365,1,0.09302579365079365,0.9817894697189331
data\raw\riceleafbd\Bacterial Leaf Blight\309927186_1142612546377118_9049401921745677073_n.jpg,riceleafbd,0.9962150869009939,1,0.9962150869009939,0.9933972358703613
data\raw\riceleafbd\Bacterial Leaf Blight\309930035_609965000916713_6053113369076935018_n (1).jpg,riceleafbd,0.09894506262430791,1,0.09894506262430791,0.9689686894416809
data\raw\riceleafbd\Bacterial Leaf Blight\309935720_624667676025618_6020341465910782064_n.jpg,riceleafbd,0.9769240196078431,1,0.9769240196078431,0.9624896049499512
data\raw\riceleafbd\Bacterial Leaf Blight\309944835_403163421908295_9126692865745592080_n (1).jpg,riceleafbd,0.4527627660085507,1,0.4527627660085507,0.9544843435287476
data\raw\riceleafbd\Bacterial Leaf Blight\309944835_403163421908295_9126692865745592080_n.jpg,riceleafbd,0.4527627660085507,1,0.4527627660085507,0.9544843435287476
