train_dataset,test_dataset,model,augmentation,n_seeds,mean_cross_f1,std_cross_f1,mean_gap,std_gap
brri_rice_disease_pest,dhan_shomadhan,efficientnet_b0,default,3,0.31424399999999997,0.061006062428253814,0.40580466666666665,0.043230045805357775
brri_rice_disease_pest,dhan_shomadhan,efficientnet_b0,strong,3,0.39918000000000003,0.05512613899050068,0.36020066666666667,0.04658077501859896
brri_rice_disease_pest,dhan_shomadhan,mobilenetv2_100,default,3,0.39166666666666666,0.026587465718517302,0.29560000000000003,0.04302510894814794
brri_rice_disease_pest,dhan_shomadhan,mobilenetv2_100,strong,3,0.4048787891459124,0.029070250109461085,0.3207709404895314,0.04088556276092234
brri_rice_disease_pest,dhan_shomadhan,resnet50,bucket-geo,1,0.477226,,0.356673,
brri_rice_disease_pest,dhan_shomadhan,resnet50,default,3,0.5188326666666667,0.04215848670592121,0.287769,0.0686482686089023
brri_rice_disease_pest,dhan_shomadhan,resnet50,strong,3,0.5015916666666667,0.04215887441966795,0.3296586666666667,0.0515244175739361
brri_rice_disease_pest,riceleafbd,efficientnet_b0,default,3,0.4846333333333333,0.15344615776660336,0.35579999999999995,0.10322126718850141
brri_rice_disease_pest,riceleafbd,efficientnet_b0,strong,2,0.523048,0.07686533554210252,0.264853,0.03514744966565855
brri_rice_disease_pest,riceleafbd,mobilenetv2_100,default,3,0.4947,0.08942432554959531,0.32826666666666665,0.09619175293825001
brri_rice_disease_pest,riceleafbd,mobilenetv2_100,strong,2,0.43128700000000003,0.2237102007911128,0.392518,0.22921856261655596
brri_rice_disease_pest,riceleafbd,resnet50,bucket-geo,1,0.873611,,-0.014187,
brri_rice_disease_pest,riceleafbd,resnet50,default,3,0.4203616666666667,0.12445019047126177,0.3977403333333333,0.10466572208862526
brri_rice_disease_pest,riceleafbd,resnet50,strong,2,0.7408865,0.035374430942419446,0.1155255,0.03963404219228719
dhan_shomadhan,brri_rice_disease_pest,efficientnet_b0,default,3,0.27972366666666665,0.06900534138987598,0.3952906666666667,0.014908459556014948
dhan_shomadhan,brri_rice_disease_pest,efficientnet_b0,strong,3,0.34870101958385713,0.022833612003936427,0.3158357762757713,0.026875076228466403
dhan_shomadhan,brri_rice_disease_pest,mobilenetv2_100,default,3,0.3022316666666667,0.043959288078099415,0.36107,0.0743992184098731
dhan_shomadhan,brri_rice_disease_pest,mobilenetv2_100,strong,2,0.33897449999999996,0.0077406979336491055,0.268742,0.058800171496348544
dhan_shomadhan,brri_rice_disease_pest,resnet50,bucket-geo,1,0.483927,,0.163811,
dhan_shomadhan,brri_rice_disease_pest,resnet50,default,3,0.41110833333333335,0.06590212597734106,0.211396,0.04608298653516285
dhan_shomadhan,brri_rice_disease_pest,resnet50,strong,3,0.505947,0.06136777596589271,0.13039633333333334,0.09526700814202854
dhan_shomadhan,riceleafbd,efficientnet_b0,default,3,0.6069589999999999,0.04169155901378596,0.27235966666666667,0.0518453245368696
dhan_shomadhan,riceleafbd,efficientnet_b0,strong,2,0.6295275,0.06576729461137965,0.25005900000000003,0.12157428310296549
dhan_shomadhan,riceleafbd,mobilenetv2_100,default,3,0.559905,0.1171569378013953,0.26101066666666667,0.13236214089131884
dhan_shomadhan,riceleafbd,mobilenetv2_100,strong,2,0.5653604999999999,0.011819289847533129,0.3735255,0.018084255928845962
dhan_shomadhan,riceleafbd,resnet50,bucket-geo,1,0.548234,,0.249385,
dhan_shomadhan,riceleafbd,resnet50,default,3,0.6020933333333334,0.0034030176804320934,0.30250099999999996,0.008311659461262812
dhan_shomadhan,riceleafbd,resnet50,strong,2,0.57045,0.06569021997223025,0.2857,0.09121677477306463
riceleafbd,brri_rice_disease_pest,efficientnet_b0,default,3,0.37833333333333335,0.03464452818748344,0.6151666666666666,0.035276668399004694
riceleafbd,brri_rice_disease_pest,efficientnet_b0,strong,2,0.4871995,0.05006386721478869,0.5079615,0.04322048778646531
riceleafbd,brri_rice_disease_pest,mobilenetv2_100,default,3,0.2492196666666667,0.04908661284233546,0.741121,0.05763743768593473
riceleafbd,brri_rice_disease_pest,mobilenetv2_100,strong,2,0.4800265,0.03376222748131413,0.500584,0.047494948278737965
riceleafbd,brri_rice_disease_pest,resnet50,bucket-geo,1,0.447963,,0.542359,
riceleafbd,brri_rice_disease_pest,resnet50,default,3,0.526401,0.0672591904723808,0.46073933333333333,0.06803394918225265
riceleafbd,brri_rice_disease_pest,resnet50,strong,2,0.5584745,0.2268037929588039,0.4415255,0.22680379295880393
riceleafbd,dhan_shomadhan,efficientnet_b0,default,3,0.42943333333333333,0.05970279167118847,0.5002333333333333,0.07888563451816392
riceleafbd,dhan_shomadhan,efficientnet_b0,strong,2,0.4377915,0.02451751342408113,0.5234875,0.03518775475218616
riceleafbd,dhan_shomadhan,mobilenetv2_100,default,3,0.494141,0.1311298777662818,0.44870633333333326,0.1364005425954506
riceleafbd,dhan_shomadhan,mobilenetv2_100,strong,3,0.5405506666666667,0.08570017562020127,0.39881966666666663,0.10937339557832762
riceleafbd,dhan_shomadhan,resnet50,bucket-geo,1,0.570707,,0.389955,
riceleafbd,dhan_shomadhan,resnet50,default,3,0.46962433333333337,0.02045040528530752,0.47085399999999994,0.03348049802496967
riceleafbd,dhan_shomadhan,resnet50,strong,2,0.5747199999999999,0.00039597979746443083,0.3823535,0.005824438556633569
