augmentation,train_dataset,test_dataset,model,n_seeds,cross_mean,cross_std,gap_mean,gap_std
bucket-geo,brri_rice_disease_pest,dhan_shomadhan,resnet50,1,0.477226,,0.356673,
bucket-geo,brri_rice_disease_pest,riceleafbd,resnet50,1,0.873611,,-0.014187,
bucket-geo,dhan_shomadhan,brri_rice_disease_pest,resnet50,1,0.483927,,0.163811,
bucket-geo,dhan_shomadhan,riceleafbd,resnet50,1,0.548234,,0.249385,
bucket-geo,riceleafbd,brri_rice_disease_pest,resnet50,1,0.447963,,0.542359,
bucket-geo,riceleafbd,dhan_shomadhan,resnet50,1,0.570707,,0.389955,
default,brri_rice_disease_pest,dhan_shomadhan,efficientnet_b0,3,0.3163160406681191,0.057492902022094595,0.40362396270345274,0.03949624630475724
default,brri_rice_disease_pest,dhan_shomadhan,mobilenetv2_100,3,0.38736363636363635,0.019257875924513772,0.29113346504909926,0.050671396676875424
default,brri_rice_disease_pest,dhan_shomadhan,resnet50,3,0.5354103632066763,0.023049445255735636,0.2718469742397487,0.04669640267612346
default,brri_rice_disease_pest,riceleafbd,efficientnet_b0,3,0.5072272624006059,0.12797858232737322,0.362598410477241,0.1115950581056053
default,brri_rice_disease_pest,riceleafbd,mobilenetv2_100,3,0.5362061172803428,0.08580459264676218,0.2655936385194129,0.103842531266731
default,brri_rice_disease_pest,riceleafbd,resnet50,3,0.34274446674113673,0.08604056280772412,0.46403298128753706,0.047898217630264146
default,dhan_shomadhan,brri_rice_disease_pest,efficientnet_b0,3,0.28084955225061675,0.07088865820227239,0.373048124181016,0.052218427436231916
default,dhan_shomadhan,brri_rice_disease_pest,mobilenetv2_100,3,0.3167803695831365,0.019251802022565673,0.3169902849654212,0.014119366539634593
default,dhan_shomadhan,brri_rice_disease_pest,resnet50,3,0.3742629309062105,0.019228273280777777,0.22383935682112335,0.028484925858405036
default,dhan_shomadhan,riceleafbd,efficientnet_b0,3,0.5951898589607635,0.061939007206858125,0.29000043977753515,0.07813910425917597
default,dhan_shomadhan,riceleafbd,mobilenetv2_100,3,0.569833982063034,0.11009516804941308,0.25847282148221457,0.13136177527856086
default,dhan_shomadhan,riceleafbd,resnet50,3,0.6001439748369949,0.005142993593089073,0.31103100365762865,0.011567234516045157
default,riceleafbd,brri_rice_disease_pest,efficientnet_b0,3,0.3786146905294556,0.03459635215680997,0.614975053060288,0.035349581588804455
default,riceleafbd,brri_rice_disease_pest,mobilenetv2_100,3,0.28660605283138246,0.05853555491781899,0.6910722761729465,0.07165400928396834
default,riceleafbd,brri_rice_disease_pest,resnet50,3,0.5828107117341913,0.04551319063530916,0.4043368816427078,0.04050578217917553
default,riceleafbd,dhan_shomadhan,efficientnet_b0,3,0.4296548387096774,0.05944170353065626,0.5053234547736793,0.08447160030674505
default,riceleafbd,dhan_shomadhan,mobilenetv2_100,3,0.5074423071895425,0.1294546569232124,0.41506993842449263,0.1300931831706911
default,riceleafbd,dhan_shomadhan,resnet50,3,0.4631537450980392,0.01217772415546884,0.4795719343823581,0.018876160707125927
strong,brri_rice_disease_pest,dhan_shomadhan,efficientnet_b0,3,0.3991799005977655,0.05512613368942631,0.3602007214205163,0.04658075615490555
strong,brri_rice_disease_pest,dhan_shomadhan,mobilenetv2_100,3,0.40486728099124863,0.02907541004496496,0.3207795105507188,0.04088318495843298
strong,brri_rice_disease_pest,dhan_shomadhan,resnet50,3,0.5015917520010853,0.042158736004629896,0.32965865306932485,0.051524395214534335
strong,brri_rice_disease_pest,riceleafbd,efficientnet_b0,2,0.5230482468547607,0.07686498643675199,0.2648527677298937,0.035147121186124064
strong,brri_rice_disease_pest,riceleafbd,mobilenetv2_100,2,0.4312656855482934,0.22374034397779086,0.39252920590353835,0.22923441015731857
strong,brri_rice_disease_pest,riceleafbd,resnet50,2,0.7408865663404224,0.03537433712289438,0.11552564112320819,0.039634241770642176
strong,dhan_shomadhan,brri_rice_disease_pest,efficientnet_b0,3,0.3486994841478084,0.02283621447757241,0.3158215348960432,0.026850543446015365
strong,dhan_shomadhan,brri_rice_disease_pest,mobilenetv2_100,2,0.33897458465791563,0.00774081765802158,0.26874191585060203,0.05880029050156839
strong,dhan_shomadhan,brri_rice_disease_pest,resnet50,3,0.5059454659412332,0.06136525045723885,0.13038127969428046,0.09528762959782476
strong,dhan_shomadhan,riceleafbd,efficientnet_b0,2,0.6295277012122585,0.06576757916848461,0.2500589947125063,0.1215742905806108
strong,dhan_shomadhan,riceleafbd,mobilenetv2_100,2,0.5653604743589744,0.01181925358564692,0.37352569962221693,0.018084538237292468
strong,dhan_shomadhan,riceleafbd,resnet50,2,0.570469993534356,0.06571849509967632,0.28567762551326303,0.09124841707565923
strong,riceleafbd,brri_rice_disease_pest,efficientnet_b0,2,0.4871992805755395,0.050064177527836616,0.5079616094898092,0.043220642628438416
strong,riceleafbd,brri_rice_disease_pest,mobilenetv2_100,2,0.48005023888473364,0.033795799334060024,0.5005929313113123,0.04748231749715032
strong,riceleafbd,brri_rice_disease_pest,resnet50,2,0.5584744149272612,0.22680367264778298,0.44152558507273876,0.22680367264778298
strong,riceleafbd,dhan_shomadhan,efficientnet_b0,2,0.4377912727272727,0.024517834836254443,0.5234873540894174,0.0351875484034613
strong,riceleafbd,dhan_shomadhan,mobilenetv2_100,3,0.5405506172839506,0.0857001485652509,0.39881978975675353,0.10937329689002333
strong,riceleafbd,dhan_shomadhan,resnet50,2,0.574720026350461,0.0003959425322849813,0.3823535954387589,0.005824573527420814
