train_dataset,test_dataset,model,classes,seed,augmentation,bucket,macro_f1,accuracy,generalization_gap,n_samples,checkpoint_path,baseline_macro_f1,delta_vs_baseline,strong_macro_f1,delta_vs_strong,frac_of_strong_gain
brri_rice_disease_pest,dhan_shomadhan,resnet50,rice_blast|scald|tungro,42,bucket-geo,geo,0.4772259770790479,0.5145631067961165,0.3566726017323216,103,results/checkpoints/resnet50__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__aug-bucket-geo__seed42.pth,0.5269330896200288,-0.049707112540980924,0.456003256003256,0.021222721075791928,0.7007927413102888
brri_rice_disease_pest,riceleafbd,resnet50,healthy|tungro,42,bucket-geo,geo,0.8736111111111111,0.8803418803418803,-0.0141866961838499,117,results/checkpoints/resnet50__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__aug-bucket-geo__seed42.pth,0.2998484002234102,0.5737627108877009,0.7158731326808447,0.15773797843026638,1.3791552908369584
dhan_shomadhan,brri_rice_disease_pest,resnet50,rice_blast|scald|tungro,42,bucket-geo,geo,0.4839268326026562,0.6274509803921569,0.1638106413573549,204,results/checkpoints/resnet50__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__aug-bucket-geo__seed42.pth,0.3733637927186314,0.11056303988402477,0.5732953978236996,-0.08936856522104347,0.5530043127794707
dhan_shomadhan,riceleafbd,resnet50,brown_spot|tungro,42,bucket-geo,geo,0.5482336956521738,0.5488721804511278,0.2493853519668738,133,results/checkpoints/resnet50__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__aug-bucket-geo__seed42.pth,0.5956519245109849,-0.047418228858811085,0.6169399870687121,-0.06870629141653828,-2.227456290596022
riceleafbd,brri_rice_disease_pest,resnet50,healthy|tungro,42,bucket-geo,geo,0.4479632389468455,0.4488188976377952,0.5423585411838518,127,results/checkpoints/resnet50__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__aug-bucket-geo__seed42.pth,0.624729135202574,-0.17676589625572853,0.7188488298545225,-0.270885590907677,-1.8780967884501005
riceleafbd,dhan_shomadhan,resnet50,brown_spot|tungro,42,bucket-geo,geo,0.5707070707070707,0.6078431372549019,0.3899554551728464,51,results/checkpoints/resnet50__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__aug-bucket-geo__seed42.pth,0.4705882352941176,0.10011883541295313,0.5744400527009222,-0.003732981993851525,0.9640547263681596
brri_rice_disease_pest,dhan_shomadhan,resnet50,rice_blast|scald|tungro,42,bucket-occlusion,occlusion,0.5524735297869626,0.5922330097087378,0.2500996994756189,103,results/checkpoints/resnet50__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__aug-bucket-occlusion__seed42.pth,0.5269330896200288,0.025540440166933798,0.456003256003256,0.09647027378370665,-0.3600803620226486
brri_rice_disease_pest,riceleafbd,resnet50,healthy|tungro,42,bucket-occlusion,occlusion,0.2998484002234102,0.358974358974359,0.5257010503260403,117,results/checkpoints/resnet50__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__aug-bucket-occlusion__seed42.pth,0.2998484002234102,0.0,0.7158731326808447,-0.41602473245743454,0.0
dhan_shomadhan,brri_rice_disease_pest,resnet50,rice_blast|scald|tungro,42,bucket-occlusion,occlusion,0.3795518207282913,0.5343137254901961,0.2501603155812061,204,results/checkpoints/resnet50__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__aug-bucket-occlusion__seed42.pth,0.3733637927186314,0.006188028009659896,0.5732953978236996,-0.19374357709540835,0.030950724406018537
dhan_shomadhan,riceleafbd,resnet50,brown_spot|tungro,42,bucket-occlusion,occlusion,0.6025287356321839,0.6090225563909775,0.2760426929392446,133,results/checkpoints/resnet50__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__aug-bucket-occlusion__seed42.pth,0.5956519245109849,0.006876811121198978,0.6169399870687121,-0.014411251436528216,0.3230360255918553
riceleafbd,brri_rice_disease_pest,resnet50,healthy|tungro,42,bucket-occlusion,occlusion,0.6375217542638357,0.6771653543307087,0.3624782457361643,127,results/checkpoints/resnet50__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__aug-bucket-occlusion__seed42.pth,0.624729135202574,0.012792619061261723,0.7188488298545225,-0.08132707559068675,0.13591862052430584
riceleafbd,dhan_shomadhan,resnet50,brown_spot|tungro,42,bucket-occlusion,occlusion,0.6003134796238244,0.6078431372549019,0.3608271736806809,51,results/checkpoints/resnet50__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__aug-bucket-occlusion__seed42.pth,0.4705882352941176,0.12972524432970683,0.5744400527009222,0.025873426922902176,1.2491379310344826
brri_rice_disease_pest,dhan_shomadhan,resnet50,rice_blast|scald|tungro,42,bucket-photo,photo,0.4923981545251901,0.5242718446601942,0.2836118871049412,103,results/checkpoints/resnet50__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__aug-bucket-photo__seed42.pth,0.5269330896200288,-0.03453493509483874,0.456003256003256,0.036394898521934116,0.48688870865576406
brri_rice_disease_pest,riceleafbd,resnet50,healthy|tungro,42,bucket-photo,photo,0.3861111111111111,0.4188034188034188,0.4296529120997206,117,results/checkpoints/resnet50__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__aug-bucket-photo__seed42.pth,0.2998484002234102,0.08626271088770093,0.7158731326808447,-0.3297620215697336,0.20734995820597488
dhan_shomadhan,brri_rice_disease_pest,resnet50,rice_blast|scald|tungro,42,bucket-photo,photo,0.4601415334487324,0.5588235294117647,0.1463795175167629,204,results/checkpoints/resnet50__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__aug-bucket-photo__seed42.pth,0.3733637927186314,0.08677774073010097,0.5732953978236996,-0.11315386437496727,0.43403713327113763
dhan_shomadhan,riceleafbd,resnet50,brown_spot|tungro,42,bucket-photo,photo,0.5863726321741589,0.5864661654135338,0.2729099850903267,133,results/checkpoints/resnet50__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__aug-bucket-photo__seed42.pth,0.5956519245109849,-0.009279292336826006,0.6169399870687121,-0.0305673548945532,-0.4358918202003209
riceleafbd,brri_rice_disease_pest,resnet50,healthy|tungro,42,bucket-photo,photo,0.6499813780260708,0.7086614173228346,0.33078785274316,127,results/checkpoints/resnet50__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__aug-bucket-photo__seed42.pth,0.624729135202574,0.025252242823496807,0.7188488298545225,-0.06886745182845166,0.26829924296799695
riceleafbd,dhan_shomadhan,resnet50,brown_spot|tungro,42,bucket-photo,photo,0.4705882352941176,0.4705882352941176,0.4750086793321898,51,results/checkpoints/resnet50__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__aug-bucket-photo__seed42.pth,0.4705882352941176,0.0,0.5744400527009222,-0.10385181740680466,0.0
