train_dataset,test_dataset,model,classes,seed,baseline_macro_f1,adabn_macro_f1,delta_macro_f1,n_samples,n_adapt_images
brri_rice_disease_pest,dhan_shomadhan,efficientnet_b0,rice_blast|scald|tungro,42,0.245,0.15,-0.095,103,478
brri_rice_disease_pest,dhan_shomadhan,mobilenetv2_100,rice_blast|scald|tungro,42,0.422,0.31,-0.112,103,478
brri_rice_disease_pest,dhan_shomadhan,resnet50,rice_blast|scald|tungro,42,0.431,0.23,-0.201,103,478
brri_rice_disease_pest,riceleafbd,efficientnet_b0,healthy|tungro,42,0.356,0.403,0.047,117,547
brri_rice_disease_pest,riceleafbd,mobilenetv2_100,healthy|tungro,42,0.448,0.362,-0.086,117,547
brri_rice_disease_pest,riceleafbd,resnet50,healthy|tungro,42,0.533,0.446,-0.086,117,547
dhan_shomadhan,brri_rice_disease_pest,efficientnet_b0,rice_blast|scald|tungro,42,0.357,0.285,-0.071,204,949
dhan_shomadhan,brri_rice_disease_pest,mobilenetv2_100,rice_blast|scald|tungro,42,0.252,0.393,0.141,204,949
dhan_shomadhan,brri_rice_disease_pest,resnet50,rice_blast|scald|tungro,42,0.387,0.248,-0.139,204,949
dhan_shomadhan,riceleafbd,efficientnet_b0,brown_spot|tungro,42,0.559,0.289,-0.27,133,620
dhan_shomadhan,riceleafbd,mobilenetv2_100,brown_spot|tungro,42,0.496,0.62,0.124,133,620
dhan_shomadhan,riceleafbd,resnet50,brown_spot|tungro,42,0.602,0.601,-0.0,133,620
riceleafbd,brri_rice_disease_pest,efficientnet_b0,healthy|tungro,42,0.374,0.426,0.052,127,589
riceleafbd,brri_rice_disease_pest,mobilenetv2_100,healthy|tungro,42,0.221,0.411,0.19,127,589
riceleafbd,brri_rice_disease_pest,resnet50,healthy|tungro,42,0.455,0.338,-0.117,127,589
riceleafbd,dhan_shomadhan,efficientnet_b0,brown_spot|tungro,42,0.382,0.362,-0.02,51,233
riceleafbd,dhan_shomadhan,mobilenetv2_100,brown_spot|tungro,42,0.47,0.292,-0.178,51,233
riceleafbd,dhan_shomadhan,resnet50,brown_spot|tungro,42,0.49,0.317,-0.173,51,233
