train_dataset,test_dataset,model,classes,seed,in_dataset_accuracy,in_dataset_macro_f1,cross_accuracy,cross_macro_f1,generalization_gap,in_dataset_n,cross_n,checkpoint_path
riceleafbd,dhan_shomadhan,mobilenetv2_100,brown_spot|tungro,42,0.909774,0.907895,0.509804,0.509804,0.398091,133,51,results/checkpoints/mobilenetv2_100__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__seed42.pth
dhan_shomadhan,riceleafbd,mobilenetv2_100,brown_spot|tungro,42,0.823529,0.816473,0.526316,0.525887,0.290586,51,133,results/checkpoints/mobilenetv2_100__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__seed42.pth
riceleafbd,brri_rice_disease_pest,mobilenetv2_100,healthy|tungro,42,0.965812,0.962013,0.346457,0.333059,0.628954,117,127,results/checkpoints/mobilenetv2_100__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__seed42.pth
brri_rice_disease_pest,riceleafbd,mobilenetv2_100,healthy|tungro,42,0.811024,0.767399,0.572650,0.572618,0.194781,127,117,results/checkpoints/mobilenetv2_100__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__seed42.pth
dhan_shomadhan,brri_rice_disease_pest,mobilenetv2_100,rice_blast|scald|tungro,42,0.631068,0.608807,0.475490,0.295546,0.313261,103,204,results/checkpoints/mobilenetv2_100__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__seed42.pth
brri_rice_disease_pest,dhan_shomadhan,mobilenetv2_100,rice_blast|scald|tungro,42,0.700980,0.642291,0.417476,0.409091,0.233200,204,103,results/checkpoints/mobilenetv2_100__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__seed42.pth
riceleafbd,dhan_shomadhan,efficientnet_b0,brown_spot|tungro,42,0.954887,0.953235,0.411765,0.383065,0.570170,133,51,results/checkpoints/efficientnet_b0__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__seed42.pth
dhan_shomadhan,riceleafbd,efficientnet_b0,brown_spot|tungro,42,0.901961,0.896215,0.593985,0.523993,0.372222,51,133,results/checkpoints/efficientnet_b0__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__seed42.pth
riceleafbd,brri_rice_disease_pest,efficientnet_b0,healthy|tungro,42,0.982906,0.980769,0.393701,0.374944,0.605825,117,127,results/checkpoints/efficientnet_b0__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__seed42.pth
brri_rice_disease_pest,riceleafbd,efficientnet_b0,healthy|tungro,42,0.905512,0.881677,0.444444,0.424082,0.457595,127,117,results/checkpoints/efficientnet_b0__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__seed42.pth
dhan_shomadhan,brri_rice_disease_pest,efficientnet_b0,rice_blast|scald|tungro,42,0.679612,0.673250,0.362745,0.359978,0.313272,103,204,results/checkpoints/efficientnet_b0__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__seed42.pth
brri_rice_disease_pest,dhan_shomadhan,efficientnet_b0,rice_blast|scald|tungro,42,0.735294,0.700074,0.407767,0.251416,0.448658,204,103,results/checkpoints/efficientnet_b0__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__seed42.pth
riceleafbd,dhan_shomadhan,resnet50,brown_spot|tungro,42,0.932331,0.929642,0.470588,0.470588,0.459054,133,51,results/checkpoints/resnet50__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__seed42.pth
dhan_shomadhan,riceleafbd,resnet50,brown_spot|tungro,42,0.921569,0.917742,0.601504,0.595652,0.322090,51,133,results/checkpoints/resnet50__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__seed42.pth
riceleafbd,brri_rice_disease_pest,resnet50,healthy|tungro,42,0.991453,0.990322,0.645669,0.624729,0.365593,117,127,results/checkpoints/resnet50__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__seed42.pth
brri_rice_disease_pest,riceleafbd,resnet50,healthy|tungro,42,0.842520,0.786626,0.358974,0.299848,0.486778,127,117,results/checkpoints/resnet50__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__seed42.pth
dhan_shomadhan,brri_rice_disease_pest,resnet50,rice_blast|scald|tungro,42,0.572816,0.574494,0.573529,0.373364,0.201130,103,204,results/checkpoints/resnet50__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__seed42.pth
brri_rice_disease_pest,dhan_shomadhan,resnet50,rice_blast|scald|tungro,42,0.857843,0.835867,0.543689,0.526933,0.308934,204,103,results/checkpoints/resnet50__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__seed42.pth
