train_dataset,test_dataset,model,classes,seed,baseline_cross_macro_f1,aug_cross_macro_f1,baseline_gap,aug_gap,cross_f1_improvement,gap_reduction
brri_rice_disease_pest,dhan_shomadhan,efficientnet_b0,rice_blast|scald|tungro,42,0.251416,0.401140,0.448658,0.349502,0.149724,0.099156
brri_rice_disease_pest,dhan_shomadhan,mobilenetv2_100,rice_blast|scald|tungro,42,0.409091,0.396165,0.233200,0.313226,-0.012925,-0.080025
brri_rice_disease_pest,dhan_shomadhan,resnet50,rice_blast|scald|tungro,42,0.526933,0.456003,0.308934,0.386143,-0.070930,-0.077209
brri_rice_disease_pest,riceleafbd,efficientnet_b0,healthy|tungro,42,0.424082,0.468696,0.457595,0.289706,0.044615,0.167890
brri_rice_disease_pest,riceleafbd,mobilenetv2_100,healthy|tungro,42,0.572618,0.273057,0.194781,0.554622,-0.299561,-0.359841
brri_rice_disease_pest,riceleafbd,resnet50,healthy|tungro,42,0.299848,0.715873,0.486778,0.143551,0.416025,0.343227
dhan_shomadhan,brri_rice_disease_pest,efficientnet_b0,rice_blast|scald|tungro,42,0.359978,0.322895,0.313272,0.346657,-0.037082,-0.033385
dhan_shomadhan,brri_rice_disease_pest,mobilenetv2_100,rice_blast|scald|tungro,42,0.295546,0.344448,0.313261,0.227164,0.048902,0.086097
dhan_shomadhan,brri_rice_disease_pest,resnet50,rice_blast|scald|tungro,42,0.373364,0.573295,0.201130,0.043355,0.199932,0.157775
dhan_shomadhan,riceleafbd,efficientnet_b0,brown_spot|tungro,42,0.523993,0.676032,0.372222,0.164093,0.152040,0.208129
dhan_shomadhan,riceleafbd,mobilenetv2_100,brown_spot|tungro,42,0.525887,0.573718,0.290586,0.386313,0.047831,-0.095727
dhan_shomadhan,riceleafbd,resnet50,brown_spot|tungro,42,0.595652,0.616940,0.322090,0.221155,0.021288,0.100935
riceleafbd,brri_rice_disease_pest,efficientnet_b0,healthy|tungro,42,0.374944,0.451799,0.605825,0.538523,0.076854,0.067302
riceleafbd,brri_rice_disease_pest,mobilenetv2_100,healthy|tungro,42,0.333059,0.503947,0.628954,0.467018,0.170888,0.161936
riceleafbd,brri_rice_disease_pest,resnet50,healthy|tungro,42,0.624729,0.718849,0.365593,0.281151,0.094120,0.084441
riceleafbd,dhan_shomadhan,efficientnet_b0,brown_spot|tungro,42,0.383065,0.420455,0.570170,0.548369,0.037390,0.021802
riceleafbd,dhan_shomadhan,mobilenetv2_100,brown_spot|tungro,42,0.509804,0.571852,0.398091,0.340359,0.062048,0.057731
riceleafbd,dhan_shomadhan,resnet50,brown_spot|tungro,42,0.470588,0.574440,0.459054,0.386472,0.103852,0.072582
