train_dataset,test_dataset,model,classes,seed,accuracy,macro_f1,n_samples,checkpoint_path
riceleafbd,dhan_shomadhan,mobilenetv2_100,brown_spot|tungro,42,0.509804,0.509804,51,results/checkpoints/mobilenetv2_100__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__seed42.pth
dhan_shomadhan,riceleafbd,mobilenetv2_100,brown_spot|tungro,42,0.526316,0.525887,133,results/checkpoints/mobilenetv2_100__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__seed42.pth
riceleafbd,brri_rice_disease_pest,mobilenetv2_100,healthy|tungro,42,0.346457,0.333059,127,results/checkpoints/mobilenetv2_100__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__seed42.pth
brri_rice_disease_pest,riceleafbd,mobilenetv2_100,healthy|tungro,42,0.572650,0.572618,117,results/checkpoints/mobilenetv2_100__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__seed42.pth
dhan_shomadhan,brri_rice_disease_pest,mobilenetv2_100,rice_blast|scald|tungro,42,0.475490,0.295546,204,results/checkpoints/mobilenetv2_100__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__seed42.pth
brri_rice_disease_pest,dhan_shomadhan,mobilenetv2_100,rice_blast|scald|tungro,42,0.417476,0.409091,103,results/checkpoints/mobilenetv2_100__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__seed42.pth
riceleafbd,dhan_shomadhan,efficientnet_b0,brown_spot|tungro,42,0.411765,0.383065,51,results/checkpoints/efficientnet_b0__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__seed42.pth
dhan_shomadhan,riceleafbd,efficientnet_b0,brown_spot|tungro,42,0.593985,0.523993,133,results/checkpoints/efficientnet_b0__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__seed42.pth
riceleafbd,brri_rice_disease_pest,efficientnet_b0,healthy|tungro,42,0.393701,0.374944,127,results/checkpoints/efficientnet_b0__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__seed42.pth
brri_rice_disease_pest,riceleafbd,efficientnet_b0,healthy|tungro,42,0.444444,0.424082,117,results/checkpoints/efficientnet_b0__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__seed42.pth
dhan_shomadhan,brri_rice_disease_pest,efficientnet_b0,rice_blast|scald|tungro,42,0.362745,0.359978,204,results/checkpoints/efficientnet_b0__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__seed42.pth
brri_rice_disease_pest,dhan_shomadhan,efficientnet_b0,rice_blast|scald|tungro,42,0.407767,0.251416,103,results/checkpoints/efficientnet_b0__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__seed42.pth
riceleafbd,dhan_shomadhan,resnet50,brown_spot|tungro,42,0.470588,0.470588,51,results/checkpoints/resnet50__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__seed42.pth
dhan_shomadhan,riceleafbd,resnet50,brown_spot|tungro,42,0.601504,0.595652,133,results/checkpoints/resnet50__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__seed42.pth
riceleafbd,brri_rice_disease_pest,resnet50,healthy|tungro,42,0.645669,0.624729,127,results/checkpoints/resnet50__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__seed42.pth
brri_rice_disease_pest,riceleafbd,resnet50,healthy|tungro,42,0.358974,0.299848,117,results/checkpoints/resnet50__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__seed42.pth
dhan_shomadhan,brri_rice_disease_pest,resnet50,rice_blast|scald|tungro,42,0.573529,0.373364,204,results/checkpoints/resnet50__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__seed42.pth
brri_rice_disease_pest,dhan_shomadhan,resnet50,rice_blast|scald|tungro,42,0.543689,0.526933,103,results/checkpoints/resnet50__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__seed42.pth
