augmentation,train,test,model,n_seeds,cross_mean,cross_std,gap_mean,gap_std
bucket-geo,BRRI,Dhan-Shomadhan,ResNet50,1,0.477226,,0.356673,
bucket-geo,BRRI,RiceLeafBD,ResNet50,1,0.873611,,-0.014187,
bucket-geo,Dhan-Shomadhan,BRRI,ResNet50,1,0.483927,,0.163811,
bucket-geo,Dhan-Shomadhan,RiceLeafBD,ResNet50,1,0.548234,,0.249385,
bucket-geo,RiceLeafBD,BRRI,ResNet50,1,0.447963,,0.542359,
bucket-geo,RiceLeafBD,Dhan-Shomadhan,ResNet50,1,0.570707,,0.389955,
default,BRRI,Dhan-Shomadhan,EfficientNet-B0,3,0.316316,0.057493,0.403624,0.039496
default,BRRI,Dhan-Shomadhan,MobileNetV2,3,0.387364,0.019258,0.291133,0.050671
default,BRRI,Dhan-Shomadhan,ResNet50,3,0.535410,0.023049,0.271847,0.046696
default,BRRI,RiceLeafBD,EfficientNet-B0,3,0.507227,0.127979,0.362598,0.111595
default,BRRI,RiceLeafBD,MobileNetV2,3,0.536206,0.085805,0.265594,0.103843
default,BRRI,RiceLeafBD,ResNet50,3,0.342744,0.086041,0.464033,0.047898
default,Dhan-Shomadhan,BRRI,EfficientNet-B0,3,0.280850,0.070889,0.373048,0.052218
default,Dhan-Shomadhan,BRRI,MobileNetV2,3,0.316780,0.019252,0.316990,0.014119
default,Dhan-Shomadhan,BRRI,ResNet50,3,0.374263,0.019228,0.223839,0.028485
default,Dhan-Shomadhan,RiceLeafBD,EfficientNet-B0,3,0.595190,0.061939,0.290000,0.078139
default,Dhan-Shomadhan,RiceLeafBD,MobileNetV2,3,0.569834,0.110095,0.258473,0.131362
default,Dhan-Shomadhan,RiceLeafBD,ResNet50,3,0.600144,0.005143,0.311031,0.011567
default,RiceLeafBD,BRRI,EfficientNet-B0,3,0.378615,0.034596,0.614975,0.035350
default,RiceLeafBD,BRRI,MobileNetV2,3,0.286606,0.058536,0.691072,0.071654
default,RiceLeafBD,BRRI,ResNet50,3,0.582811,0.045513,0.404337,0.040506
default,RiceLeafBD,Dhan-Shomadhan,EfficientNet-B0,3,0.429655,0.059442,0.505323,0.084472
default,RiceLeafBD,Dhan-Shomadhan,MobileNetV2,3,0.507442,0.129455,0.415070,0.130093
default,RiceLeafBD,Dhan-Shomadhan,ResNet50,3,0.463154,0.012178,0.479572,0.018876
strong,BRRI,Dhan-Shomadhan,EfficientNet-B0,3,0.399180,0.055126,0.360201,0.046581
strong,BRRI,Dhan-Shomadhan,MobileNetV2,3,0.404867,0.029075,0.320780,0.040883
strong,BRRI,Dhan-Shomadhan,ResNet50,3,0.501592,0.042159,0.329659,0.051524
strong,BRRI,RiceLeafBD,EfficientNet-B0,2,0.523048,0.076865,0.264853,0.035147
strong,BRRI,RiceLeafBD,MobileNetV2,2,0.431266,0.223740,0.392529,0.229234
strong,BRRI,RiceLeafBD,ResNet50,2,0.740887,0.035374,0.115526,0.039634
strong,Dhan-Shomadhan,BRRI,EfficientNet-B0,3,0.348699,0.022836,0.315822,0.026851
strong,Dhan-Shomadhan,BRRI,MobileNetV2,2,0.338975,0.007741,0.268742,0.058800
strong,Dhan-Shomadhan,BRRI,ResNet50,3,0.505945,0.061365,0.130381,0.095288
strong,Dhan-Shomadhan,RiceLeafBD,EfficientNet-B0,2,0.629528,0.065768,0.250059,0.121574
strong,Dhan-Shomadhan,RiceLeafBD,MobileNetV2,2,0.565360,0.011819,0.373526,0.018085
strong,Dhan-Shomadhan,RiceLeafBD,ResNet50,2,0.570470,0.065718,0.285678,0.091248
strong,RiceLeafBD,BRRI,EfficientNet-B0,2,0.487199,0.050064,0.507962,0.043221
strong,RiceLeafBD,BRRI,MobileNetV2,2,0.480050,0.033796,0.500593,0.047482
strong,RiceLeafBD,BRRI,ResNet50,2,0.558474,0.226804,0.441526,0.226804
strong,RiceLeafBD,Dhan-Shomadhan,EfficientNet-B0,2,0.437791,0.024518,0.523487,0.035188
strong,RiceLeafBD,Dhan-Shomadhan,MobileNetV2,3,0.540551,0.085700,0.398820,0.109373
strong,RiceLeafBD,Dhan-Shomadhan,ResNet50,2,0.574720,0.000396,0.382354,0.005825
