run_id,experiment_type,model,train_datasets,eval_dataset,classes,split_seed,train_seed,augmentation,status,checkpoint_path,predictions_path,started_at,completed_at
mobilenetv2_100__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__seed7__eval-dhan_shomadhan__aug-default,transfer_baseline,mobilenetv2_100,riceleafbd,dhan_shomadhan,brown_spot|tungro,42,7,default,complete,results/checkpoints/mobilenetv2_100__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__seed7.pth,results/predictions/mobilenetv2_100__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__eval-dhan_shomadhan__seed7.csv,2026-07-21T08:20:10.523326+00:00,2026-07-21T08:23:06.741052+00:00
efficientnet_b0__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__seed7__eval-dhan_shomadhan__aug-default,transfer_baseline,efficientnet_b0,riceleafbd,dhan_shomadhan,brown_spot|tungro,42,7,default,complete,results/checkpoints/efficientnet_b0__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__seed7.pth,results/predictions/efficientnet_b0__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__eval-dhan_shomadhan__seed7.csv,2026-07-21T08:23:06.768294+00:00,2026-07-21T08:28:07.680235+00:00
resnet50__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__seed7__eval-dhan_shomadhan__aug-default,transfer_baseline,resnet50,riceleafbd,dhan_shomadhan,brown_spot|tungro,42,7,default,complete,results/checkpoints/resnet50__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__seed7.pth,results/predictions/resnet50__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__eval-dhan_shomadhan__seed7.csv,2026-07-21T08:28:07.707716+00:00,2026-07-21T08:32:37.596468+00:00
mobilenetv2_100__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__seed7__eval-riceleafbd__aug-default,transfer_baseline,mobilenetv2_100,dhan_shomadhan,riceleafbd,brown_spot|tungro,42,7,default,complete,results/checkpoints/mobilenetv2_100__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__seed7.pth,results/predictions/mobilenetv2_100__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__eval-riceleafbd__seed7.csv,2026-07-21T08:32:37.629061+00:00,2026-07-21T08:41:26.535227+00:00
efficientnet_b0__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__seed7__eval-riceleafbd__aug-default,transfer_baseline,efficientnet_b0,dhan_shomadhan,riceleafbd,brown_spot|tungro,42,7,default,complete,results/checkpoints/efficientnet_b0__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__seed7.pth,results/predictions/efficientnet_b0__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__eval-riceleafbd__seed7.csv,2026-07-21T08:41:26.564434+00:00,2026-07-21T08:47:16.236223+00:00
resnet50__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__seed7__eval-riceleafbd__aug-default,transfer_baseline,resnet50,dhan_shomadhan,riceleafbd,brown_spot|tungro,42,7,default,complete,results/checkpoints/resnet50__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__seed7.pth,results/predictions/resnet50__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__eval-riceleafbd__seed7.csv,2026-07-21T08:47:16.266120+00:00,2026-07-21T08:58:06.800775+00:00
mobilenetv2_100__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__seed7__eval-brri_rice_disease_pest__aug-default,transfer_baseline,mobilenetv2_100,riceleafbd,brri_rice_disease_pest,healthy|tungro,42,7,default,complete,results/checkpoints/mobilenetv2_100__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__seed7.pth,results/predictions/mobilenetv2_100__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__eval-brri_rice_disease_pest__seed7.csv,2026-07-21T08:58:06.831931+00:00,2026-07-21T09:00:30.822167+00:00
efficientnet_b0__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__seed7__eval-brri_rice_disease_pest__aug-default,transfer_baseline,efficientnet_b0,riceleafbd,brri_rice_disease_pest,healthy|tungro,42,7,default,complete,results/checkpoints/efficientnet_b0__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__seed7.pth,results/predictions/efficientnet_b0__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__eval-brri_rice_disease_pest__seed7.csv,2026-07-21T09:00:30.852838+00:00,2026-07-21T09:04:35.351582+00:00
resnet50__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__seed7__eval-brri_rice_disease_pest__aug-default,transfer_baseline,resnet50,riceleafbd,brri_rice_disease_pest,healthy|tungro,42,7,default,complete,results/checkpoints/resnet50__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__seed7.pth,results/predictions/resnet50__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__eval-brri_rice_disease_pest__seed7.csv,2026-07-21T09:04:35.380708+00:00,2026-07-21T09:07:44.283136+00:00
mobilenetv2_100__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__seed7__eval-riceleafbd__aug-default,transfer_baseline,mobilenetv2_100,brri_rice_disease_pest,riceleafbd,healthy|tungro,42,7,default,complete,results/checkpoints/mobilenetv2_100__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__seed7.pth,results/predictions/mobilenetv2_100__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__eval-riceleafbd__seed7.csv,2026-07-21T09:07:44.314402+00:00,2026-07-21T09:12:54.470101+00:00
