model,train_dataset,test_dataset,seed,augmentation,in_macro_f1,cross_macro_f1,gap,checkpoint_path
mobilenetv2_100,riceleafbd,dhan_shomadhan,42,strong,0.9122,0.5719,0.3404,results/checkpoints/mobilenetv2_100__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__aug-strong__seed42.pth
efficientnet_b0,riceleafbd,dhan_shomadhan,42,strong,0.9688,0.4205,0.5484,results/checkpoints/efficientnet_b0__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__aug-strong__seed42.pth
resnet50,riceleafbd,dhan_shomadhan,42,strong,0.9609,0.5744,0.3865,results/checkpoints/resnet50__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__aug-strong__seed42.pth
mobilenetv2_100,dhan_shomadhan,riceleafbd,42,strong,0.96,0.5737,0.3863,results/checkpoints/mobilenetv2_100__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__aug-strong__seed42.pth
efficientnet_b0,dhan_shomadhan,riceleafbd,42,strong,0.8401,0.676,0.1641,results/checkpoints/efficientnet_b0__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__aug-strong__seed42.pth
resnet50,dhan_shomadhan,riceleafbd,42,strong,0.8381,0.6169,0.2212,results/checkpoints/resnet50__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__aug-strong__seed42.pth
mobilenetv2_100,riceleafbd,brri_rice_disease_pest,42,strong,0.971,0.5039,0.467,results/checkpoints/mobilenetv2_100__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__aug-strong__seed42.pth
efficientnet_b0,riceleafbd,brri_rice_disease_pest,42,strong,0.9903,0.4518,0.5385,results/checkpoints/efficientnet_b0__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__aug-strong__seed42.pth
resnet50,riceleafbd,brri_rice_disease_pest,42,strong,1.0,0.7188,0.2812,results/checkpoints/resnet50__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__aug-strong__seed42.pth
mobilenetv2_100,brri_rice_disease_pest,riceleafbd,42,strong,0.8277,0.2731,0.5546,results/checkpoints/mobilenetv2_100__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__aug-strong__seed42.pth
efficientnet_b0,brri_rice_disease_pest,riceleafbd,42,strong,0.7584,0.4687,0.2897,results/checkpoints/efficientnet_b0__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__aug-strong__seed42.pth
resnet50,brri_rice_disease_pest,riceleafbd,42,strong,0.8594,0.7159,0.1436,results/checkpoints/resnet50__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__aug-strong__seed42.pth
mobilenetv2_100,dhan_shomadhan,brri_rice_disease_pest,42,strong,0.5716,0.3444,0.2272,results/checkpoints/mobilenetv2_100__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__aug-strong__seed42.pth
efficientnet_b0,dhan_shomadhan,brri_rice_disease_pest,42,strong,0.6696,0.3229,0.3467,results/checkpoints/efficientnet_b0__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__aug-strong__seed42.pth
resnet50,dhan_shomadhan,brri_rice_disease_pest,42,strong,0.6167,0.5733,0.0434,results/checkpoints/resnet50__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__aug-strong__seed42.pth
mobilenetv2_100,brri_rice_disease_pest,dhan_shomadhan,42,strong,0.7094,0.3962,0.3132,results/checkpoints/mobilenetv2_100__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__aug-strong__seed42.pth
