model,held_out_dataset,seed,macro_f1,n_samples
mobilenetv2_100,riceleafbd,7,0.5111,171
efficientnet_b0,riceleafbd,7,0.4716,171
resnet50,riceleafbd,7,0.4005,171
mobilenetv2_100,dhan_shomadhan,7,0.3218,124
efficientnet_b0,dhan_shomadhan,7,0.4274,124
resnet50,dhan_shomadhan,7,0.3551,124
mobilenetv2_100,brri_rice_disease_pest,7,0.2724,295
efficientnet_b0,brri_rice_disease_pest,7,0.1831,295
resnet50,brri_rice_disease_pest,7,0.3242,295
mobilenetv2_100,riceleafbd,2024,0.4165,171
efficientnet_b0,riceleafbd,2024,0.4636,171
resnet50,riceleafbd,2024,0.4097,171
mobilenetv2_100,dhan_shomadhan,2024,0.2966,124
efficientnet_b0,dhan_shomadhan,2024,0.4585,124
resnet50,dhan_shomadhan,2024,0.3599,124
mobilenetv2_100,brri_rice_disease_pest,2024,0.2184,295
efficientnet_b0,brri_rice_disease_pest,2024,0.1778,295
resnet50,brri_rice_disease_pest,2024,0.2817,295
