model,train_dataset,test_dataset,seed,augmentation,in_macro_f1,cross_macro_f1,gap
mobilenetv2_100,riceleafbd,dhan_shomadhan,7,default,0.9301,0.6357,0.2943
efficientnet_b0,riceleafbd,dhan_shomadhan,7,default,0.9453,0.4093,0.536
resnet50,riceleafbd,dhan_shomadhan,7,default,0.9532,0.4698,0.4835
mobilenetv2_100,dhan_shomadhan,riceleafbd,7,default,0.8593,0.4885,0.3708
efficientnet_b0,dhan_shomadhan,riceleafbd,7,default,0.8416,0.6249,0.2167
resnet50,dhan_shomadhan,riceleafbd,7,default,0.9177,0.6058,0.312
mobilenetv2_100,riceleafbd,brri_rice_disease_pest,7,default,0.9808,0.3059,0.6748
efficientnet_b0,riceleafbd,brri_rice_disease_pest,7,default,1.0,0.4149,0.5851
resnet50,riceleafbd,brri_rice_disease_pest,7,default,0.9903,0.5893,0.401
mobilenetv2_100,brri_rice_disease_pest,riceleafbd,7,default,0.823,0.4382,0.3848
efficientnet_b0,brri_rice_disease_pest,riceleafbd,7,default,0.8335,0.443,0.3905
resnet50,brri_rice_disease_pest,riceleafbd,7,default,0.8508,0.4418,0.409
mobilenetv2_100,dhan_shomadhan,brri_rice_disease_pest,7,default,0.6382,0.3331,0.3051
efficientnet_b0,dhan_shomadhan,brri_rice_disease_pest,7,default,0.6692,0.2594,0.4098
resnet50,dhan_shomadhan,brri_rice_disease_pest,7,default,0.6114,0.3555,0.2558
mobilenetv2_100,brri_rice_disease_pest,dhan_shomadhan,7,default,0.6996,0.3724,0.3272
efficientnet_b0,brri_rice_disease_pest,dhan_shomadhan,7,default,0.7115,0.3367,0.3749
resnet50,brri_rice_disease_pest,dhan_shomadhan,7,default,0.805,0.5178,0.2872
mobilenetv2_100,riceleafbd,dhan_shomadhan,7,strong,0.9373,0.6062,0.3311
efficientnet_b0,riceleafbd,dhan_shomadhan,7,strong,0.9537,0.4551,0.4986
resnet50,riceleafbd,dhan_shomadhan,7,strong,0.9532,0.575,0.3782
mobilenetv2_100,dhan_shomadhan,riceleafbd,7,strong,0.9177,0.557,0.3607
efficientnet_b0,dhan_shomadhan,riceleafbd,7,strong,0.919,0.583,0.336
resnet50,dhan_shomadhan,riceleafbd,7,strong,0.8742,0.524,0.3502
mobilenetv2_100,riceleafbd,brri_rice_disease_pest,7,strong,0.9903,0.4562,0.5342
efficientnet_b0,riceleafbd,brri_rice_disease_pest,7,strong,1.0,0.5226,0.4774
resnet50,riceleafbd,brri_rice_disease_pest,7,strong,1.0,0.3981,0.6019
mobilenetv2_100,brri_rice_disease_pest,riceleafbd,7,strong,0.8199,0.5895,0.2304
efficientnet_b0,brri_rice_disease_pest,riceleafbd,7,strong,0.8174,0.5774,0.24
resnet50,brri_rice_disease_pest,riceleafbd,7,strong,0.8534,0.7659,0.0875
mobilenetv2_100,dhan_shomadhan,brri_rice_disease_pest,7,strong,0.6438,0.3335,0.3103
efficientnet_b0,dhan_shomadhan,brri_rice_disease_pest,7,strong,0.6602,0.3569,0.3032
resnet50,dhan_shomadhan,brri_rice_disease_pest,7,strong,0.6854,0.4532,0.2322
mobilenetv2_100,brri_rice_disease_pest,dhan_shomadhan,7,strong,0.7216,0.4373,0.2842
efficientnet_b0,brri_rice_disease_pest,dhan_shomadhan,7,strong,0.7543,0.3431,0.4112
resnet50,brri_rice_disease_pest,dhan_shomadhan,7,strong,0.8272,0.5096,0.3176
mobilenetv2_100,riceleafbd,dhan_shomadhan,2024,default,0.9296,0.3768,0.5528
efficientnet_b0,riceleafbd,dhan_shomadhan,2024,default,0.9065,0.4966,0.4098
resnet50,riceleafbd,dhan_shomadhan,2024,default,0.9453,0.4491,0.4962
mobilenetv2_100,dhan_shomadhan,riceleafbd,2024,default,0.8091,0.6951,0.114
efficientnet_b0,dhan_shomadhan,riceleafbd,2024,default,0.9177,0.6367,0.2811
resnet50,dhan_shomadhan,riceleafbd,2024,default,0.898,0.599,0.299
mobilenetv2_100,riceleafbd,brri_rice_disease_pest,2024,default,0.9903,0.2209,0.7695
efficientnet_b0,riceleafbd,brri_rice_disease_pest,2024,default,1.0,0.346,0.654
resnet50,riceleafbd,brri_rice_disease_pest,2024,default,0.9808,0.5344,0.4464
mobilenetv2_100,brri_rice_disease_pest,riceleafbd,2024,default,0.815,0.5978,0.2172
efficientnet_b0,brri_rice_disease_pest,riceleafbd,2024,default,0.8943,0.6546,0.2397
resnet50,brri_rice_disease_pest,riceleafbd,2024,default,0.7829,0.2866,0.4963
mobilenetv2_100,dhan_shomadhan,brri_rice_disease_pest,2024,default,0.6543,0.3217,0.3326
efficientnet_b0,dhan_shomadhan,brri_rice_disease_pest,2024,default,0.6192,0.2231,0.3961
resnet50,dhan_shomadhan,brri_rice_disease_pest,2024,default,0.6085,0.3939,0.2146
mobilenetv2_100,brri_rice_disease_pest,dhan_shomadhan,2024,default,0.6936,0.3806,0.313
efficientnet_b0,brri_rice_disease_pest,dhan_shomadhan,2024,default,0.7482,0.3609,0.3873
resnet50,brri_rice_disease_pest,dhan_shomadhan,2024,default,0.7809,0.5615,0.2194
