train_dataset,test_dataset,model,seed,baseline,strong,delta
brri_rice_disease_pest,dhan_shomadhan,efficientnet_b0,7,0.336665,0.3431,0.006435000000000024
brri_rice_disease_pest,dhan_shomadhan,efficientnet_b0,42,0.2514161220043573,0.40114,0.14972387799564268
brri_rice_disease_pest,dhan_shomadhan,efficientnet_b0,2024,0.360867,0.4533,0.09243299999999999
brri_rice_disease_pest,dhan_shomadhan,mobilenetv2_100,7,0.3724,0.4373,0.06490000000000001
brri_rice_disease_pest,dhan_shomadhan,mobilenetv2_100,42,0.4090909090909091,0.3962,-0.01289090909090912
brri_rice_disease_pest,dhan_shomadhan,mobilenetv2_100,2024,0.3806,0.3811363674377372,0.0005363674377372174
brri_rice_disease_pest,dhan_shomadhan,resnet50,7,0.5178,0.5096,-0.008199999999999985
brri_rice_disease_pest,dhan_shomadhan,resnet50,42,0.5269330896200288,0.456003,-0.07093008962002884
brri_rice_disease_pest,dhan_shomadhan,resnet50,2024,0.561498,0.539172,-0.022326000000000068
brri_rice_disease_pest,riceleafbd,efficientnet_b0,7,0.443,0.5774,0.13440000000000002
brri_rice_disease_pest,riceleafbd,efficientnet_b0,42,0.4240817872018175,0.468696,0.044614212798182507
brri_rice_disease_pest,riceleafbd,mobilenetv2_100,7,0.4382,0.589474,0.15127400000000008
brri_rice_disease_pest,riceleafbd,mobilenetv2_100,42,0.5726183518410286,0.2731,-0.2995183518410286
brri_rice_disease_pest,riceleafbd,resnet50,7,0.4418,0.7659,0.3241
brri_rice_disease_pest,riceleafbd,resnet50,42,0.2998484002234102,0.715873,0.4160245997765898
dhan_shomadhan,brri_rice_disease_pest,efficientnet_b0,7,0.259431,0.3569,0.09746899999999997
dhan_shomadhan,brri_rice_disease_pest,efficientnet_b0,42,0.3599776567518503,0.3229,-0.03707765675185026
dhan_shomadhan,brri_rice_disease_pest,efficientnet_b0,2024,0.22314,0.3663030587515714,0.14316305875157137
dhan_shomadhan,brri_rice_disease_pest,mobilenetv2_100,7,0.333095,0.333501,0.00040600000000001746
dhan_shomadhan,brri_rice_disease_pest,mobilenetv2_100,42,0.2955461087494095,0.344448,0.04890189125059047
dhan_shomadhan,brri_rice_disease_pest,resnet50,7,0.3555,0.4532,0.09770000000000001
dhan_shomadhan,brri_rice_disease_pest,resnet50,42,0.3733637927186314,0.5733,0.19993620728136863
dhan_shomadhan,brri_rice_disease_pest,resnet50,2024,0.393925,0.491341,0.097416
dhan_shomadhan,riceleafbd,efficientnet_b0,7,0.624902,0.583023,-0.041879
dhan_shomadhan,riceleafbd,efficientnet_b0,42,0.5239925768822906,0.676032,0.15203942311770935
dhan_shomadhan,riceleafbd,mobilenetv2_100,7,0.4885,0.557003,0.06850300000000004
dhan_shomadhan,riceleafbd,mobilenetv2_100,42,0.525886946189102,0.573718,0.04783105381089792
dhan_shomadhan,riceleafbd,resnet50,7,0.605754,0.524,-0.081754
dhan_shomadhan,riceleafbd,resnet50,42,0.5956519245109849,0.6169,0.021248075489015084
riceleafbd,brri_rice_disease_pest,efficientnet_b0,7,0.4149,0.5226,0.10769999999999996
riceleafbd,brri_rice_disease_pest,efficientnet_b0,42,0.3749440715883669,0.451799,0.0768549284116331
riceleafbd,brri_rice_disease_pest,mobilenetv2_100,7,0.3059,0.456153,0.15025299999999997
riceleafbd,brri_rice_disease_pest,mobilenetv2_100,42,0.3330591584941474,0.5039,0.1708408415058526
riceleafbd,brri_rice_disease_pest,resnet50,7,0.589303,0.3981,-0.191203
riceleafbd,brri_rice_disease_pest,resnet50,42,0.624729135202574,0.7188,0.09407086479742599
riceleafbd,dhan_shomadhan,efficientnet_b0,7,0.4093,0.455128,0.04582799999999998
riceleafbd,dhan_shomadhan,efficientnet_b0,42,0.3830645161290322,0.420455,0.03739048387096783
riceleafbd,dhan_shomadhan,mobilenetv2_100,7,0.6357,0.6062,-0.02950000000000008
riceleafbd,dhan_shomadhan,mobilenetv2_100,42,0.5098039215686274,0.571852,0.06204807843137261
riceleafbd,dhan_shomadhan,mobilenetv2_100,2024,0.376823,0.4436,0.06677699999999998
riceleafbd,dhan_shomadhan,resnet50,7,0.469773,0.575,0.10522699999999996
riceleafbd,dhan_shomadhan,resnet50,42,0.4705882352941176,0.57444,0.10385176470588237
