train_dataset,test_dataset,model,mean,std,count
brri_rice_disease_pest,dhan_shomadhan,efficientnet_b0,0.08493600000000001,0.07503392574695794,3
brri_rice_disease_pest,dhan_shomadhan,mobilenetv2_100,0.013212122479245747,0.04665971039777515,3
brri_rice_disease_pest,dhan_shomadhan,resnet50,-0.017241000000000024,0.00785005866220123,3
brri_rice_disease_pest,riceleafbd,efficientnet_b0,0.12339800000000001,0.015559177613228808,2
brri_rice_disease_pest,riceleafbd,mobilenetv2_100,-0.011862999999999957,0.23071055792485964,2
brri_rice_disease_pest,riceleafbd,resnet50,0.25363650000000004,0.09965043735227658,2
dhan_shomadhan,brri_rice_disease_pest,efficientnet_b0,0.06897735291719047,0.09180939958881644,3
dhan_shomadhan,brri_rice_disease_pest,mobilenetv2_100,0.04647699999999999,0.06515423303209082,2
dhan_shomadhan,brri_rice_disease_pest,resnet50,0.09483866666666668,0.004712163551207999,3
dhan_shomadhan,riceleafbd,efficientnet_b0,0.037426499999999974,0.11215491367077945,2
dhan_shomadhan,riceleafbd,mobilenetv2_100,0.0730605,0.00644527831051533,2
dhan_shomadhan,riceleafbd,resnet50,-0.03317700000000001,0.0686982522193978,2
riceleafbd,brri_rice_disease_pest,efficientnet_b0,0.09269949999999999,0.021213910542377572,2
riceleafbd,brri_rice_disease_pest,mobilenetv2_100,0.2166265,0.09386630388217067,2
riceleafbd,brri_rice_disease_pest,resnet50,0.036072999999999966,0.3214168016019075,2
riceleafbd,dhan_shomadhan,efficientnet_b0,0.04194149999999999,0.0054963410101630155,2
riceleafbd,dhan_shomadhan,mobilenetv2_100,0.04640966666666665,0.06805165888009888,3
riceleafbd,dhan_shomadhan,resnet50,0.09483349999999996,0.014698628660524763,2
