held_out_dataset,model,seed,macro_f1,n_samples
riceleafbd,mobilenetv2_100,42,0.5744116037219485,171
riceleafbd,efficientnet_b0,42,0.5410355796945202,171
riceleafbd,resnet50,42,0.3831530788052528,171
dhan_shomadhan,mobilenetv2_100,42,0.3211830763792588,124
dhan_shomadhan,efficientnet_b0,42,0.4886681483310696,124
dhan_shomadhan,resnet50,42,0.3950827398408043,124
brri_rice_disease_pest,mobilenetv2_100,42,0.2156236674014905,295
brri_rice_disease_pest,efficientnet_b0,42,0.1262853692201518,295
brri_rice_disease_pest,resnet50,42,0.2671051489246558,295
riceleafbd,mobilenetv2_100,7,0.5111,171
riceleafbd,efficientnet_b0,7,0.4716,171
riceleafbd,resnet50,7,0.4005,171
dhan_shomadhan,mobilenetv2_100,7,0.3218,124
dhan_shomadhan,efficientnet_b0,7,0.4274,124
dhan_shomadhan,resnet50,7,0.3551,124
brri_rice_disease_pest,mobilenetv2_100,7,0.2724,295
brri_rice_disease_pest,efficientnet_b0,7,0.1831,295
brri_rice_disease_pest,resnet50,7,0.3242,295
riceleafbd,mobilenetv2_100,2024,0.4165311653116531,171
riceleafbd,efficientnet_b0,2024,0.4635546872264588,171
riceleafbd,resnet50,2024,0.4096618357487922,171
dhan_shomadhan,mobilenetv2_100,2024,0.2965564483730081,124
dhan_shomadhan,efficientnet_b0,2024,0.4584572946377942,124
dhan_shomadhan,resnet50,2024,0.3598584353829923,124
brri_rice_disease_pest,mobilenetv2_100,2024,0.2184129248714411,295
brri_rice_disease_pest,efficientnet_b0,2024,0.1777544332363241,295
brri_rice_disease_pest,resnet50,2024,0.2817265385686438,295
