train_dataset,test_dataset,model,classes,seed,split_seed,augmentation,method,n_bn_layers,n_adapt_images,baseline_accuracy,baseline_macro_f1,adabn_accuracy,adabn_macro_f1,delta_macro_f1,n_samples,checkpoint_path,predictions_path
riceleafbd,dhan_shomadhan,mobilenetv2_100,brown_spot|tungro,42,42,default,adabn,52,233,0.5098039215686274,0.4698544698544699,0.4117647058823529,0.2916666666666667,-0.1781878031878032,51,results/checkpoints/mobilenetv2_100__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__seed42.pth,results/predictions/mobilenetv2_100__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__adabn__eval-dhan_shomadhan__seed42.csv
riceleafbd,dhan_shomadhan,efficientnet_b0,brown_spot|tungro,42,42,default,adabn,49,233,0.4509803921568627,0.3823529411764706,0.5686274509803921,0.3625,-0.0198529411764706,51,results/checkpoints/efficientnet_b0__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__seed42.pth,results/predictions/efficientnet_b0__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__adabn__eval-dhan_shomadhan__seed42.csv
riceleafbd,dhan_shomadhan,resnet50,brown_spot|tungro,42,42,default,adabn,53,233,0.4901960784313725,0.49,0.4117647058823529,0.3169642857142857,-0.1730357142857143,51,results/checkpoints/resnet50__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__seed42.pth,results/predictions/resnet50__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__adabn__eval-dhan_shomadhan__seed42.csv
dhan_shomadhan,riceleafbd,mobilenetv2_100,brown_spot|tungro,42,42,default,adabn,52,620,0.4962406015037593,0.4961266610121572,0.6240601503759399,0.620433789954338,0.1243071289421807,133,results/checkpoints/mobilenetv2_100__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__seed42.pth,results/predictions/mobilenetv2_100__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__adabn__eval-riceleafbd__seed42.csv
dhan_shomadhan,riceleafbd,efficientnet_b0,brown_spot|tungro,42,42,default,adabn,49,620,0.6240601503759399,0.5592523860021209,0.4060150375939849,0.2887700534759358,-0.2704823325261851,133,results/checkpoints/efficientnet_b0__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__seed42.pth,results/predictions/efficientnet_b0__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__adabn__eval-riceleafbd__seed42.csv
dhan_shomadhan,riceleafbd,resnet50,brown_spot|tungro,42,42,default,adabn,53,620,0.6015037593984962,0.6015037593984962,0.6165413533834586,0.6013048845000881,-0.000198874898408,133,results/checkpoints/resnet50__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__seed42.pth,results/predictions/resnet50__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__adabn__eval-riceleafbd__seed42.csv
riceleafbd,brri_rice_disease_pest,mobilenetv2_100,healthy|tungro,42,42,default,adabn,52,589,0.2834645669291338,0.2208588957055214,0.5511811023622047,0.4107448107448107,0.1898859150392892,127,results/checkpoints/mobilenetv2_100__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__seed42.pth,results/predictions/mobilenetv2_100__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__adabn__eval-brri_rice_disease_pest__seed42.csv
riceleafbd,brri_rice_disease_pest,efficientnet_b0,healthy|tungro,42,42,default,adabn,49,589,0.3779527559055118,0.3740719945099507,0.4645669291338583,0.4257978723404255,0.0517258778304748,127,results/checkpoints/efficientnet_b0__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__seed42.pth,results/predictions/efficientnet_b0__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__adabn__eval-brri_rice_disease_pest__seed42.csv
riceleafbd,brri_rice_disease_pest,resnet50,healthy|tungro,42,42,default,adabn,53,589,0.4566929133858268,0.4554775368172497,0.3464566929133858,0.3384171216971066,-0.117060415120143,127,results/checkpoints/resnet50__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__seed42.pth,results/predictions/resnet50__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__adabn__eval-brri_rice_disease_pest__seed42.csv
brri_rice_disease_pest,riceleafbd,mobilenetv2_100,healthy|tungro,42,42,default,adabn,52,547,0.452991452991453,0.4481132075471698,0.3931623931623931,0.3616383616383616,-0.0864748459088081,117,results/checkpoints/mobilenetv2_100__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__seed42.pth,results/predictions/mobilenetv2_100__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__adabn__eval-riceleafbd__seed42.csv
