train_dataset,test_dataset,model,classes,seed,in_dataset_accuracy,in_dataset_macro_f1,cross_accuracy,cross_macro_f1,generalization_gap,in_dataset_n,cross_n,checkpoint_path
riceleafbd,dhan_shomadhan,mobilenetv2_100,brown_spot|tungro,42,0.9097744360902256,0.9078947368421052,0.5098039215686274,0.5098039215686274,0.3980908152734779,133,51,results/checkpoints/mobilenetv2_100__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__seed42.pth
dhan_shomadhan,riceleafbd,mobilenetv2_100,brown_spot|tungro,42,0.8235294117647058,0.8164734106357456,0.5263157894736842,0.525886946189102,0.2905864644466436,51,133,results/checkpoints/mobilenetv2_100__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__seed42.pth
riceleafbd,brri_rice_disease_pest,mobilenetv2_100,healthy|tungro,42,0.9658119658119658,0.962012987012987,0.3464566929133858,0.3330591584941474,0.6289538285188395,117,127,results/checkpoints/mobilenetv2_100__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__seed42.pth
brri_rice_disease_pest,riceleafbd,mobilenetv2_100,healthy|tungro,42,0.8110236220472441,0.7673992673992673,0.5726495726495726,0.5726183518410286,0.1947809155582387,127,117,results/checkpoints/mobilenetv2_100__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__seed42.pth
dhan_shomadhan,brri_rice_disease_pest,mobilenetv2_100,rice_blast|scald|tungro,42,0.6310679611650486,0.6088069636456733,0.4754901960784313,0.2955461087494095,0.3132608548962637,103,204,results/checkpoints/mobilenetv2_100__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__seed42.pth
brri_rice_disease_pest,dhan_shomadhan,mobilenetv2_100,rice_blast|scald|tungro,42,0.7009803921568627,0.6422913042382069,0.4174757281553398,0.4090909090909091,0.2332003951472978,204,103,results/checkpoints/mobilenetv2_100__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__seed42.pth
riceleafbd,dhan_shomadhan,efficientnet_b0,brown_spot|tungro,42,0.9548872180451128,0.9532348804500704,0.4117647058823529,0.3830645161290322,0.5701703643210381,133,51,results/checkpoints/efficientnet_b0__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__seed42.pth
dhan_shomadhan,riceleafbd,efficientnet_b0,brown_spot|tungro,42,0.9019607843137256,0.8962148962148961,0.5939849624060151,0.5239925768822906,0.3722223193326055,51,133,results/checkpoints/efficientnet_b0__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__seed42.pth
riceleafbd,brri_rice_disease_pest,efficientnet_b0,healthy|tungro,42,0.9829059829059827,0.9807692307692308,0.3937007874015748,0.3749440715883669,0.6058251591808639,117,127,results/checkpoints/efficientnet_b0__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__seed42.pth
brri_rice_disease_pest,riceleafbd,efficientnet_b0,healthy|tungro,42,0.905511811023622,0.8816770186335404,0.4444444444444444,0.4240817872018175,0.4575952314317229,127,117,results/checkpoints/efficientnet_b0__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__seed42.pth
dhan_shomadhan,brri_rice_disease_pest,efficientnet_b0,rice_blast|scald|tungro,42,0.6796116504854369,0.6732500292948984,0.3627450980392157,0.3599776567518503,0.3132723725430481,103,204,results/checkpoints/efficientnet_b0__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__seed42.pth
brri_rice_disease_pest,dhan_shomadhan,efficientnet_b0,rice_blast|scald|tungro,42,0.7352941176470589,0.7000740101147156,0.4077669902912621,0.2514161220043573,0.4486578881103583,204,103,results/checkpoints/efficientnet_b0__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__seed42.pth
riceleafbd,dhan_shomadhan,resnet50,brown_spot|tungro,42,0.9323308270676692,0.929642038441192,0.4705882352941176,0.4705882352941176,0.4590538031470744,133,51,results/checkpoints/resnet50__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__seed42.pth
dhan_shomadhan,riceleafbd,resnet50,brown_spot|tungro,42,0.9215686274509804,0.917741935483871,0.6015037593984962,0.5956519245109849,0.322090010972886,51,133,results/checkpoints/resnet50__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__seed42.pth
riceleafbd,brri_rice_disease_pest,resnet50,healthy|tungro,42,0.9914529914529916,0.9903217801306974,0.6456692913385826,0.624729135202574,0.3655926449281234,117,127,results/checkpoints/resnet50__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__seed42.pth
brri_rice_disease_pest,riceleafbd,resnet50,healthy|tungro,42,0.84251968503937,0.7866263440860215,0.358974358974359,0.2998484002234102,0.4867779438626113,127,117,results/checkpoints/resnet50__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__seed42.pth
dhan_shomadhan,brri_rice_disease_pest,resnet50,rice_blast|scald|tungro,42,0.5728155339805825,0.5744938631820015,0.5735294117647058,0.3733637927186314,0.20113007046337,103,204,results/checkpoints/resnet50__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__seed42.pth
brri_rice_disease_pest,dhan_shomadhan,resnet50,rice_blast|scald|tungro,42,0.8578431372549019,0.835867012339275,0.5436893203883495,0.5269330896200288,0.30893392271924613,204,103,results/checkpoints/resnet50__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__seed42.pth
